チーム,アシストした選手,アシストされた選手,回数,チーム内順位
Fイーグルス名古屋,ベンジャミン・ローソン,ソウ シェリフ,3,71
Fイーグルス名古屋,ベンジャミン・ローソン,鹿野 洵生,3,72
Fイーグルス名古屋,ベンジャミン・ローソン,飛田 浩明,3,73
Fイーグルス名古屋,伊藤 大和,高村 成寿,3,74
Fイーグルス名古屋,伊藤 大和,坂本 健,3,75
Fイーグルス名古屋,伊藤 大和,木村 啓太郎,3,76
Fイーグルス名古屋,山本 エドワード,高村 成寿,3,77
Fイーグルス名古屋,鹿野 洵生,木村 啓太郎,3,78
Fイーグルス名古屋,飛田 浩明,ソウ シェリフ,3,79
Fイーグルス名古屋,飛田 浩明,ベンジャミン・ローソン,3,80
Fイーグルス名古屋,クリス・オトゥーレ,伊藤 大和,2,81
Fイーグルス名古屋,クリス・オトゥーレ,木村 啓太郎,2,82
Fイーグルス名古屋,ソウ シェリフ,ベンジャミン・ローソン,2,83
Fイーグルス名古屋,ソウ シェリフ,伊藤 大和,2,84
Fイーグルス名古屋,ソウ シェリフ,杉本 慶,2,85
Fイーグルス名古屋,ソウ シェリフ,木村 啓太郎,2,86
Fイーグルス名古屋,ベンジャミン・ローソン,伊藤 大和,2,87
Fイーグルス名古屋,伊藤 大和,クリス・オトゥーレ,2,88
Fイーグルス名古屋,高村 成寿,宮崎 恭行,2,89
Fイーグルス名古屋,高村 成寿,杉本 慶,2,90
Fイーグルス名古屋,山本 エドワード,伊藤 大和,2,91
Fイーグルス名古屋,山本 エドワード,坂本 健,2,92
Fイーグルス名古屋,鹿野 洵生,ベンジャミン・ローソン,2,93
Fイーグルス名古屋,鹿野 洵生,山本 エドワード,2,94
Fイーグルス名古屋,木村 啓太郎,クリス・オトゥーレ,2,95
Fイーグルス名古屋,木村 啓太郎,伊藤 大和,2,96
Fイーグルス名古屋,木村 啓太郎,山本 エドワード,2,97
Fイーグルス名古屋,クリス・オトゥーレ,ソウ シェリフ,1,98
Fイーグルス名古屋,クリス・オトゥーレ,宮崎 恭行,1,99
Fイーグルス名古屋,クリス・オトゥーレ,高村 成寿,1,100
Fイーグルス名古屋,クリス・オトゥーレ,鹿野 洵生,1,101
Fイーグルス名古屋,ソウ シェリフ,鹿野 洵生,1,102
Fイーグルス名古屋,伊藤 大和,鹿野 洵生,1,103
Fイーグルス名古屋,伊藤 大和,飛田 浩明,1,104
Fイーグルス名古屋,宮崎 恭行,ソウ シェリフ,1,105
Fイーグルス名古屋,宮崎 恭行,会田 太朗,1,106
Fイーグルス名古屋,宮崎 恭行,坂本 健,1,107
Fイーグルス名古屋,宮崎 恭行,鹿野 洵生,1,108
Fイーグルス名古屋,宮崎 恭行,木村 啓太郎,1,109
Fイーグルス名古屋,宮崎 恭行,林 瑛司,1,110
Fイーグルス名古屋,高村 成寿,クリス・オトゥーレ,1,111
Fイーグルス名古屋,高村 成寿,ジョシュ・ホーキンソン,1,112
Fイーグルス名古屋,高村 成寿,ソウ シェリフ,1,113
Fイーグルス名古屋,高村 成寿,伊藤 大和,1,114
Fイーグルス名古屋,高村 成寿,山本 エドワード,1,115
Fイーグルス名古屋,高村 成寿,飛田 浩明,1,116
Fイーグルス名古屋,坂本 健,宮崎 恭行,1,117
Fイーグルス名古屋,坂本 健,杉本 慶,1,118
Fイーグルス名古屋,坂本 健,飛田 浩明,1,119
Fイーグルス名古屋,山本 エドワード,林 瑛司,1,120
Fイーグルス名古屋,鹿野 洵生,宮崎 恭行,1,121
Fイーグルス名古屋,飛田 浩明,高村 成寿,1,122
Fイーグルス名古屋,木村 啓太郎,坂本 健,1,123
Fイーグルス名古屋,林 瑛司,ジョシュ・ホーキンソン,1,124
アースフレンズ東京Z,久岡 幸太郎,ナンナ・エグー,49,1
アースフレンズ東京Z,久岡 幸太郎,カイル・ケイシー,41,2
アースフレンズ東京Z,カイル・ケイシー,ナンナ・エグー,39,3
アースフレンズ東京Z,久岡 幸太郎,増子 匠,32,4
アースフレンズ東京Z,増子 匠,カイル・ケイシー,27,5
アースフレンズ東京Z,増子 匠,久岡 幸太郎,27,6
アースフレンズ東京Z,カイル・ケイシー,増子 匠,24,7
アースフレンズ東京Z,増子 匠,ナンナ・エグー,21,8
アースフレンズ東京Z,ナンナ・エグー,増子 匠,20,9
アースフレンズ東京Z,カイル・ケイシー,久岡 幸太郎,17,10
アースフレンズ東京Z,カイル・ケイシー,仁平 拓海,17,11
アースフレンズ東京Z,久岡 幸太郎,仁平 拓海,17,12
アースフレンズ東京Z,増子 匠,イシュマエル・レーン,15,13
アースフレンズ東京Z,増子 匠,仁平 拓海,15,14
アースフレンズ東京Z,増子 匠,紺野 ニズベット 翔,14,15
アースフレンズ東京Z,ナンナ・エグー,久岡 幸太郎,13,16
アースフレンズ東京Z,久岡 幸太郎,イシュマエル・レーン,11,17
アースフレンズ東京Z,カイル・ケイシー,紺野 ニズベット 翔,10,18
アースフレンズ東京Z,ナンナ・エグー,カイル・ケイシー,10,19
アースフレンズ東京Z,増子 匠,高山 師門,10,20
アースフレンズ東京Z,久岡 幸太郎,紺野 ニズベット 翔,9,21
アースフレンズ東京Z,柏倉 哲平,増子 匠,9,22
アースフレンズ東京Z,紺野 ニズベット 翔,カイル・ケイシー,8,23
アースフレンズ東京Z,紺野 ニズベット 翔,増子 匠,8,24
アースフレンズ東京Z,増子 匠,ロバート・ギルクリスト,8,25
アースフレンズ東京Z,イシュマエル・レーン,増子 匠,7,26
アースフレンズ東京Z,久岡 幸太郎,高山 師門,7,27
アースフレンズ東京Z,仁平 拓海,カイル・ケイシー,7,28
アースフレンズ東京Z,柏倉 哲平,イシュマエル・レーン,7,29
アースフレンズ東京Z,柏倉 哲平,カイル・ケイシー,7,30
アースフレンズ東京Z,柏倉 哲平,ナンナ・エグー,7,31
アースフレンズ東京Z,カイル・ケイシー,小原 良公,6,32
アースフレンズ東京Z,ナンナ・エグー,高山 師門,6,33
アースフレンズ東京Z,ナンナ・エグー,小原 良公,6,34
アースフレンズ東京Z,ナンナ・エグー,仁平 拓海,6,35
アースフレンズ東京Z,久岡 幸太郎,小原 良公,6,36
アースフレンズ東京Z,高山 師門,ナンナ・エグー,6,37
アースフレンズ東京Z,紺野 ニズベット 翔,イシュマエル・レーン,6,38
アースフレンズ東京Z,小原 良公,カイル・ケイシー,6,39
アースフレンズ東京Z,小原 良公,増子 匠,6,40
アースフレンズ東京Z,ロバート・ギルクリスト,ナンナ・エグー,5,41
アースフレンズ東京Z,高山 師門,カイル・ケイシー,5,42
アースフレンズ東京Z,仁平 拓海,増子 匠,5,43
アースフレンズ東京Z,柏倉 哲平,久岡 幸太郎,5,44
アースフレンズ東京Z,カイル・ケイシー,高山 師門,4,45
アースフレンズ東京Z,カイル・ケイシー,村越 圭佑,4,46
アースフレンズ東京Z,ナンナ・エグー,髙木 慎哉,4,47
アースフレンズ東京Z,久岡 幸太郎,柏倉 哲平,4,48
アースフレンズ東京Z,紺野 ニズベット 翔,ナンナ・エグー,4,49
アースフレンズ東京Z,仁平 拓海,ナンナ・エグー,4,50
アースフレンズ東京Z,仁平 拓海,久岡 幸太郎,4,51
アースフレンズ東京Z,柏倉 哲平,髙木 慎哉,4,52
アースフレンズ東京Z,木村 嗣人,増子 匠,4,53
アースフレンズ東京Z,イシュマエル・レーン,紺野 ニズベット 翔,3,54
アースフレンズ東京Z,カイル・ケイシー,髙木 慎哉,3,55
アースフレンズ東京Z,ナンナ・エグー,紺野 ニズベット 翔,3,56
アースフレンズ東京Z,ロバート・ギルクリスト,カイル・ケイシー,3,57
アースフレンズ東京Z,久岡 幸太郎,髙木 慎哉,3,58
アースフレンズ東京Z,栗原 翼,カイル・ケイシー,3,59
アースフレンズ東京Z,栗原 翼,増子 匠,3,60
アースフレンズ東京Z,高山 師門,増子 匠,3,61
アースフレンズ東京Z,紺野 ニズベット 翔,久岡 幸太郎,3,62
アースフレンズ東京Z,紺野 ニズベット 翔,高山 師門,3,63
アースフレンズ東京Z,紺野 ニズベット 翔,仁平 拓海,3,64
アースフレンズ東京Z,紺野 ニズベット 翔,村越 圭佑,3,65
アースフレンズ東京Z,小原 良公,ナンナ・エグー,3,66
アースフレンズ東京Z,仁平 拓海,小原 良公,3,67
アースフレンズ東京Z,増子 匠,小原 良公,3,68
アースフレンズ東京Z,増子 匠,髙木 慎哉,3,69
アースフレンズ東京Z,柏倉 哲平,小原 良公,3,70
アースフレンズ東京Z,髙木 慎哉,ナンナ・エグー,3,71
アースフレンズ東京Z,イシュマエル・レーン,髙木 慎哉,2,72
アースフレンズ東京Z,カイル・ケイシー,ロバート・ギルクリスト,2,73
アースフレンズ東京Z,カイル・ケイシー,柏倉 哲平,2,74
アースフレンズ東京Z,ナンナ・エグー,イシュマエル・レーン,2,75
アースフレンズ東京Z,ロバート・ギルクリスト,高山 師門,2,76
アースフレンズ東京Z,栗原 翼,ナンナ・エグー,2,77
アースフレンズ東京Z,高山 師門,紺野 ニズベット 翔,2,78
アースフレンズ東京Z,高山 師門,仁平 拓海,2,79
アースフレンズ東京Z,紺野 ニズベット 翔,小原 良公,2,80
アースフレンズ東京Z,紺野 ニズベット 翔,柏倉 哲平,2,81
アースフレンズ東京Z,小原 良公,久岡 幸太郎,2,82
アースフレンズ東京Z,仁平 拓海,ロバート・ギルクリスト,2,83
アースフレンズ東京Z,仁平 拓海,村越 圭佑,2,84
アースフレンズ東京Z,増子 匠,村越 圭佑,2,85
アースフレンズ東京Z,増子 匠,柏倉 哲平,2,86
アースフレンズ東京Z,村越 圭佑,小原 良公,2,87
アースフレンズ東京Z,柏倉 哲平,ロバート・ギルクリスト,2,88
アースフレンズ東京Z,柏倉 哲平,紺野 ニズベット 翔,2,89
アースフレンズ東京Z,柏倉 哲平,仁平 拓海,2,90
アースフレンズ東京Z,髙木 慎哉,イシュマエル・レーン,2,91
アースフレンズ東京Z,髙木 慎哉,カイル・ケイシー,2,92
アースフレンズ東京Z,イシュマエル・レーン,ナンナ・エグー,1,93
アースフレンズ東京Z,イシュマエル・レーン,久岡 幸太郎,1,94
アースフレンズ東京Z,イシュマエル・レーン,柏倉 哲平,1,95
アースフレンズ東京Z,カイル・ケイシー,木村 嗣人,1,96
アースフレンズ東京Z,ナンナ・エグー,ロバート・ギルクリスト,1,97
アースフレンズ東京Z,ナンナ・エグー,栗原 翼,1,98
アースフレンズ東京Z,ナンナ・エグー,柏倉 哲平,1,99
アースフレンズ東京Z,ロバート・ギルクリスト,久岡 幸太郎,1,100
アースフレンズ東京Z,ロバート・ギルクリスト,紺野 ニズベット 翔,1,101
アースフレンズ東京Z,ロバート・ギルクリスト,仁平 拓海,1,102
アースフレンズ東京Z,ロバート・ギルクリスト,増子 匠,1,103
アースフレンズ東京Z,久岡 幸太郎,ロバート・ギルクリスト,1,104
アースフレンズ東京Z,久岡 幸太郎,栗原 翼,1,105
アースフレンズ東京Z,久岡 幸太郎,村越 圭佑,1,106
アースフレンズ東京Z,久岡 幸太郎,木村 嗣人,1,107
アースフレンズ東京Z,栗原 翼,久岡 幸太郎,1,108
アースフレンズ東京Z,栗原 翼,柏倉 哲平,1,109
アースフレンズ東京Z,栗原 翼,髙木 慎哉,1,110
アースフレンズ東京Z,高山 師門,ロバート・ギルクリスト,1,111
アースフレンズ東京Z,高山 師門,久岡 幸太郎,1,112
アースフレンズ東京Z,高山 師門,小原 良公,1,113
アースフレンズ東京Z,高山 師門,村越 圭佑,1,114
アースフレンズ東京Z,高山 師門,木村 嗣人,1,115
アースフレンズ東京Z,紺野 ニズベット 翔,髙木 慎哉,1,116
アースフレンズ東京Z,小原 良公,イシュマエル・レーン,1,117
アースフレンズ東京Z,小原 良公,高山 師門,1,118
アースフレンズ東京Z,小原 良公,紺野 ニズベット 翔,1,119
アースフレンズ東京Z,小原 良公,仁平 拓海,1,120
アースフレンズ東京Z,仁平 拓海,イシュマエル・レーン,1,121
アースフレンズ東京Z,仁平 拓海,高山 師門,1,122
アースフレンズ東京Z,仁平 拓海,紺野 ニズベット 翔,1,123
アースフレンズ東京Z,仁平 拓海,柏倉 哲平,1,124
アースフレンズ東京Z,仁平 拓海,木村 嗣人,1,125
アースフレンズ東京Z,増子 匠,栗原 翼,1,126
アースフレンズ東京Z,村越 圭佑,イシュマエル・レーン,1,127
アースフレンズ東京Z,村越 圭佑,カイル・ケイシー,1,128
アースフレンズ東京Z,村越 圭佑,久岡 幸太郎,1,129
アースフレンズ東京Z,村越 圭佑,柏倉 哲平,1,130
アースフレンズ東京Z,村越 圭佑,木村 嗣人,1,131
アースフレンズ東京Z,柏倉 哲平,高山 師門,1,132
アースフレンズ東京Z,木村 嗣人,久岡 幸太郎,1,133
アースフレンズ東京Z,木村 嗣人,紺野 ニズベット 翔,1,134
アースフレンズ東京Z,木村 嗣人,小原 良公,1,135
アースフレンズ東京Z,木村 嗣人,仁平 拓海,1,136
アースフレンズ東京Z,木村 嗣人,村越 圭佑,1,137
アースフレンズ東京Z,髙木 慎哉,久岡 幸太郎,1,138
アースフレンズ東京Z,髙木 慎哉,小原 良公,1,139
バンビシャス奈良,西 裕太郎,アンドリュー・フィッツジェラルド,104,1
バンビシャス奈良,横江 豊,アンドリュー・フィッツジェラルド,93,2
バンビシャス奈良,横江 豊,グレッグ・マンガーノ,78,3
バンビシャス奈良,西 裕太郎,グレッグ・マンガーノ,48,4
バンビシャス奈良,井手 勇次,アンドリュー・フィッツジェラルド,42,5
バンビシャス奈良,本多 純平,アンドリュー・フィッツジェラルド,33,6
バンビシャス奈良,横江 豊,本多 純平,29,7
バンビシャス奈良,アンドリュー・フィッツジェラルド,グレッグ・マンガーノ,28,8
バンビシャス奈良,グレッグ・マンガーノ,アンドリュー・フィッツジェラルド,28,9
バンビシャス奈良,アンドリュー・フィッツジェラルド,本多 純平,24,10
バンビシャス奈良,西 裕太郎,本多 純平,23,11
バンビシャス奈良,グレッグ・マンガーノ,西 裕太郎,21,12
バンビシャス奈良,井手 勇次,グレッグ・マンガーノ,21,13
バンビシャス奈良,横江 豊,西 裕太郎,18,14
バンビシャス奈良,松本 健児リオン,アンドリュー・フィッツジェラルド,16,15
バンビシャス奈良,グレッグ・マンガーノ,本多 純平,15,16
バンビシャス奈良,横江 豊,井手 勇次,15,17
バンビシャス奈良,横江 豊,松本 健児リオン,15,18
バンビシャス奈良,西 裕太郎,井手 勇次,15,19
バンビシャス奈良,グレッグ・マンガーノ,井手 勇次,13,20
バンビシャス奈良,西 裕太郎,種市 幸祐,13,21
バンビシャス奈良,本多 純平,西 裕太郎,13,22
バンビシャス奈良,西 裕太郎,横江 豊,12,23
バンビシャス奈良,アンドリュー・フィッツジェラルド,西 裕太郎,11,24
バンビシャス奈良,グレッグ・マンガーノ,横江 豊,11,25
バンビシャス奈良,アンドリュー・フィッツジェラルド,横江 豊,10,26
バンビシャス奈良,井手 勇次,西 裕太郎,10,27
バンビシャス奈良,本多 純平,グレッグ・マンガーノ,10,28
バンビシャス奈良,西 裕太郎,松本 健児リオン,9,29
バンビシャス奈良,井手 勇次,横江 豊,8,30
バンビシャス奈良,横江 豊,種市 幸祐,8,31
バンビシャス奈良,種市 幸祐,アンドリュー・フィッツジェラルド,8,32
バンビシャス奈良,種市 幸祐,グレッグ・マンガーノ,8,33
バンビシャス奈良,アンドリュー・フィッツジェラルド,松本 健児リオン,7,34
バンビシャス奈良,グレッグ・マンガーノ,種市 幸祐,7,35
バンビシャス奈良,グレッグ・マンガーノ,松本 健児リオン,7,36
バンビシャス奈良,松本 健児リオン,グレッグ・マンガーノ,7,37
バンビシャス奈良,井手 勇次,松本 健児リオン,6,38
バンビシャス奈良,松本 健児リオン,井手 勇次,6,39
バンビシャス奈良,本多 純平,横江 豊,6,40
バンビシャス奈良,アンドリュー・フィッツジェラルド,種市 幸祐,5,41
バンビシャス奈良,松本 健児リオン,西 裕太郎,5,42
バンビシャス奈良,松本 健児リオン,横江 豊,4,43
バンビシャス奈良,松本 健児リオン,本多 純平,4,44
バンビシャス奈良,本多 純平,井手 勇次,4,45
バンビシャス奈良,本多 純平,松本 健児リオン,4,46
バンビシャス奈良,アンドリュー・フィッツジェラルド,井手 勇次,3,47
バンビシャス奈良,井手 勇次,石塚 裕也,3,48
バンビシャス奈良,井手 勇次,本多 純平,3,49
バンビシャス奈良,種市 幸祐,松本 健児リオン,3,50
バンビシャス奈良,上原 壮大郎,アンドリュー・フィッツジェラルド,3,51
バンビシャス奈良,西 裕太郎,石塚 裕也,3,52
バンビシャス奈良,石塚 裕也,アンドリュー・フィッツジェラルド,3,53
バンビシャス奈良,本多 純平,石塚 裕也,3,54
バンビシャス奈良,アンドリュー・フィッツジェラルド,ジェイソン・カーター,2,55
バンビシャス奈良,ジェームズ・ファー,アンドリュー・フィッツジェラルド,2,56
バンビシャス奈良,井手 勇次,種市 幸祐,2,57
バンビシャス奈良,井手 勇次,船山 裕士,2,58
バンビシャス奈良,横江 豊,ジェイソン・カーター,2,59
バンビシャス奈良,上原 壮大郎,ジェームズ・ファー,2,60
バンビシャス奈良,上原 壮大郎,井手 勇次,2,61
バンビシャス奈良,上原 壮大郎,石塚 裕也,2,62
バンビシャス奈良,西 裕太郎,ジェームズ・ファー,2,63
バンビシャス奈良,石塚 裕也,種市 幸祐,2,64
バンビシャス奈良,本多 純平,ジェームズ・ファー,2,65
バンビシャス奈良,アンドリュー・フィッツジェラルド,船山 裕士,1,66
バンビシャス奈良,グレッグ・マンガーノ,石塚 裕也,1,67
バンビシャス奈良,ジェイソン・カーター,アンドリュー・フィッツジェラルド,1,68
バンビシャス奈良,ジェームズ・ファー,井手 勇次,1,69
バンビシャス奈良,ジェームズ・ファー,本多 純平,1,70
バンビシャス奈良,井手 勇次,玉井 健介,1,71
バンビシャス奈良,井手 勇次,上原 壮大郎,1,72
バンビシャス奈良,横江 豊,石塚 裕也,1,73
バンビシャス奈良,種市 幸祐,井手 勇次,1,74
バンビシャス奈良,種市 幸祐,西 裕太郎,1,75
バンビシャス奈良,松本 健児リオン,ジェイソン・カーター,1,76
バンビシャス奈良,松本 健児リオン,ジェームズ・ファー,1,77
バンビシャス奈良,松本 健児リオン,玉井 健介,1,78
バンビシャス奈良,松本 健児リオン,種市 幸祐,1,79
バンビシャス奈良,松本 健児リオン,上原 壮大郎,1,80
バンビシャス奈良,松本 健児リオン,石塚 裕也,1,81
バンビシャス奈良,上原 壮大郎,グレッグ・マンガーノ,1,82
バンビシャス奈良,上原 壮大郎,種市 幸祐,1,83
バンビシャス奈良,上原 壮大郎,松本 健児リオン,1,84
バンビシャス奈良,西 裕太郎,ジェイソン・カーター,1,85
バンビシャス奈良,西 裕太郎,船山 裕士,1,86
バンビシャス奈良,石塚 裕也,井手 勇次,1,87
バンビシャス奈良,石塚 裕也,横江 豊,1,88
バンビシャス奈良,石塚 裕也,松本 健児リオン,1,89
バンビシャス奈良,船山 裕士,玉井 健介,1,90
バンビシャス奈良,本多 純平,ジェイソン・カーター,1,91
バンビシャス奈良,本多 純平,種市 幸祐,1,92
ライジングゼファー福岡,ケビン・ピンキニー,デイビッド・ドブラス,36,1
ライジングゼファー福岡,村上 駿斗,城宝 匡史,22,2
ライジングゼファー福岡,デイビッド・ドブラス,ケビン・ピンキニー,20,3
ライジングゼファー福岡,石谷 聡,城宝 匡史,20,4
ライジングゼファー福岡,堤 啓士朗,ケビン・ピンキニー,20,5
ライジングゼファー福岡,ケビン・ピンキニー,ショーン・マーシャル,19,6
ライジングゼファー福岡,村上 駿斗,ケビン・ピンキニー,19,7
ライジングゼファー福岡,石谷 聡,ケビン・ピンキニー,18,8
ライジングゼファー福岡,城宝 匡史,ショーン・マーシャル,17,9
ライジングゼファー福岡,堤 啓士朗,ショーン・マーシャル,17,10
ライジングゼファー福岡,デイビッド・ドブラス,城宝 匡史,16,11
ライジングゼファー福岡,ニック・ウォッシュバーン,ショーン・マーシャル,16,12
ライジングゼファー福岡,堤 啓士朗,デイビッド・ドブラス,16,13
ライジングゼファー福岡,ショーン・マーシャル,ニック・ウォッシュバーン,15,14
ライジングゼファー福岡,城宝 匡史,デイビッド・ドブラス,15,15
ライジングゼファー福岡,石谷 聡,ショーン・マーシャル,15,16
ライジングゼファー福岡,村上 駿斗,デイビッド・ドブラス,15,17
ライジングゼファー福岡,村上 駿斗,薦田 拓也,15,18
ライジングゼファー福岡,ケビン・ピンキニー,城宝 匡史,14,19
ライジングゼファー福岡,村上 駿斗,ニック・ウォッシュバーン,14,20
ライジングゼファー福岡,村上 駿斗,加納 誠也,14,21
ライジングゼファー福岡,城宝 匡史,ケビン・ピンキニー,13,22
ライジングゼファー福岡,堤 啓士朗,城宝 匡史,13,23
ライジングゼファー福岡,城宝 匡史,加納 誠也,12,24
ライジングゼファー福岡,石谷 聡,デイビッド・ドブラス,12,25
ライジングゼファー福岡,石谷 聡,薦田 拓也,12,26
ライジングゼファー福岡,加納 誠也,ケビン・ピンキニー,11,27
ライジングゼファー福岡,加納 督大,ケビン・ピンキニー,11,28
ライジングゼファー福岡,加納 督大,デイビッド・ドブラス,11,29
ライジングゼファー福岡,石谷 聡,ニック・ウォッシュバーン,11,30
ライジングゼファー福岡,石谷 聡,加納 誠也,11,31
ライジングゼファー福岡,ケビン・ピンキニー,村上 駿斗,9,32
ライジングゼファー福岡,ショーン・マーシャル,城宝 匡史,9,33
ライジングゼファー福岡,ニック・ウォッシュバーン,村上 駿斗,9,34
ライジングゼファー福岡,城宝 匡史,青木 ブレイク,9,35
ライジングゼファー福岡,堤 啓士朗,青木 ブレイク,9,36
ライジングゼファー福岡,ケビン・ピンキニー,薦田 拓也,8,37
ライジングゼファー福岡,ショーン・マーシャル,石谷 聡,8,38
ライジングゼファー福岡,ショーン・マーシャル,薦田 拓也,8,39
ライジングゼファー福岡,加納 誠也,デイビッド・ドブラス,8,40
ライジングゼファー福岡,村上 駿斗,ショーン・マーシャル,8,41
ライジングゼファー福岡,村上 駿斗,青木 ブレイク,8,42
ライジングゼファー福岡,ショーン・マーシャル,加納 誠也,7,43
ライジングゼファー福岡,加納 誠也,城宝 匡史,7,44
ライジングゼファー福岡,加納 誠也,村上 駿斗,7,45
ライジングゼファー福岡,城宝 匡史,村上 駿斗,7,46
ライジングゼファー福岡,薦田 拓也,デイビッド・ドブラス,7,47
ライジングゼファー福岡,平良 彰吾,デイビッド・ドブラス,7,48
ライジングゼファー福岡,平良 彰吾,城宝 匡史,7,49
ライジングゼファー福岡,ケビン・ピンキニー,加納 誠也,6,50
ライジングゼファー福岡,ショーン・マーシャル,ケビン・ピンキニー,6,51
ライジングゼファー福岡,ショーン・マーシャル,村上 駿斗,6,52
ライジングゼファー福岡,青木 ブレイク,デイビッド・ドブラス,6,53
ライジングゼファー福岡,堤 啓士朗,加納 誠也,6,54
