"","1Q.A","2Q.A","3Q.A","4Q.A","F.A","2POINTSFGM.A","2POINTSFGA.A","2POINTSFGR.A","3POINTSFGM.A","3POINTSFGA.A","3POINTSFGR.A","FREE-THROWSM.A","FREE-THROWSA.A","FREE-THROWSR.A","OFFENSIVEREBOUNDS.A","DEFENSIVEREBOUNDS.A","TOTALREBOUNDS.A","ASSIST.A","TURNOVER.A","STEALS.A","BLOCKS.A","FOULS.A","FASTBREAKPOINTS.A","BIGGESTLEAD.A","POINTSINTHEPAINT.A","POINTSFROMTURNOVER.A","SECONDCHANCEPOINTS.A","BIGGESTSCORINGRUN.A","1Q.B","2Q.B","3Q.B","4Q.B","F.B","2POINTSFGM.B","2POINTSFGA.B","2POINTSFGR.B","3POINTSFGM.B","3POINTSFGA.B","3POINTSFGR.B","FREE-THROWSM.B","FREE-THROWSA.B","FREE-THROWSR.B","OFFENSIVEREBOUNDS.B","DEFENSIVEREBOUNDS.B","TOTALREBOUNDS.B","ASSIST.B","TURNOVER.B","STEALS.B","BLOCKS.B","FOULS.B","FASTBREAKPOINTS.B","BIGGESTLEAD.B","POINTSINTHEPAINT.B","POINTSFROMTURNOVER.B","SECONDCHANCEPOINTS.B","BIGGESTSCORINGRUN.B","GAMEIDX","DATE","SHEDULEKEY","TEAM.A","TEAM.B","ISHOME.A","ISHOME.B","ATTENDANCE_RAW","EX1.A","EX1.B","EX2.A","EX2.B","EX3.A","EX3.B"
"26","19","16","17","21","73","17","41","41.5%","8","22","36.4%","15","18","83.3%","15","29","44","20","15","7","4","21","5","20","34","18","12","17-0(17-0)","7","17","16","13","53","18","43","41.9%","3","17","17.6%","8","16","50%","13","23","36","15","17","11","3","18","10","0","26","18","2","9-0(61-53)",7,"10.21","3032","秋田","福岡",TRUE,FALSE,"人数：3179人",0,0,0,0,0,0
"27","13","19","15","27","74","32","56","57.1%","2","11","18.2%","4","7","57.1%","11","26","37","21","15","8","4","22","15","4","62","16","10","6-0(8-4)","21","18","19","19","77","20","41","48.8%","7","26","26.9%","16","20","80%","14","23","37","22","12","4","4","14","2","12","36","10","18","12-0(13-24)",8,"10.24","3049","秋田","栃木",TRUE,FALSE,"人数：3766人",0,0,0,0,0,0
"28","11","19","13","32","75","27","49","55.1%","4","12","33.3%","9","15","60%","12","21","33","20","28","13","1","28","18","5","50","25","12","5-0(58-39)","13","19","34","24","90","24","37","64.9%","5","15","33.3%","27","36","75%","6","17","23","22","20","10","2","22","12","25","46","32","10","13-0(58-34)",9,"10.27","3064","秋田","富山",FALSE,TRUE,"人数：1829人",0,0,0,0,0,0
"29","26","13","17","24","80","25","52","48.1%","6","21","28.6%","12","23","52.2%","16","13","29","23","15","17","2","29","14","16","48","31","11","12-0(12-26)","12","36","30","20","98","27","39","69.2%","6","10","60%","26","33","78.8%","7","28","35","17","22","8","4","21","19","30","48","20","8","22-0(57-39)",10,"10.28","3065","秋田","富山",FALSE,TRUE,"人数：1805人",0,0,0,0,0,0
"30","17","20","20","26","83","25","40","62.5%","3","19","15.8%","24","27","88.9%","12","20","32","23","18","6","2","32","8","3","44","9","15","8-0(30-36)","26","24","26","21","97","28","46","60.9%","7","14","50%","20","31","64.5%","11","18","29","23","11","11","4","25","12","20","54","22","11","11-0(17-32)",11,"11.03","3076","秋田","名古屋D",TRUE,FALSE,"人数：2531人",0,0,0,0,0,0
"31","23","11","23","11","68","17","41","41.5%","8","32","25%","10","14","71.4%","15","29","44","20","11","5","3","28","7","11","30","13","10","10-0(13-4)","17","34","18","15","84","17","32","53.1%","11","23","47.8%","17","30","56.7%","3","35","38","27","9","4","2","18","27","20","32","12","4","21-0(34-54)",12,"11.04","3077","秋田","名古屋D",TRUE,FALSE,"人数：2707人",0,0,0,0,0,0
"32","8","17","13","17","55","21","45","46.7%","1","5","20%","10","17","58.8%","8","16","24","14","23","4","4","22","6","0","32","5","9","6-0(36-21)","28","25","24","23","100","28","50","56%","6","15","40%","26","27","96.3%","15","22","37","25","11","11","4","18","12","45","44","33","19","12-0(24-6)",13,"11.07","3096","秋田","A東京",FALSE,TRUE,"人数：1879人",0,0,0,0,0,0
"33","18","12","17","32","79","28","59","47.5%","4","13","30.8%","11","14","78.6%","13","35","48","21","20","11","2","21","22","17","48","18","8","12-0(57-67)","11","18","18","16","63","15","32","46.9%","9","28","32.1%","6","16","37.5%","5","26","31","20","19","13","5","15","12","3","28","14","4","8-0(26-28)",14,"11.10","3113","秋田","名古屋D",FALSE,TRUE,"人数：2469人",0,0,0,0,0,0
"34","10","12","19","13","54","16","35","45.7%","5","21","23.8%","7","8","87.5%","8","22","30","14","26","8","2","22","9","3","30","9","5","9-0(32-22)","22","19","21","17","79","22","43","51.2%","6","20","30%","17","27","63%","12","27","39","23","14","15","2","13","26","28","40","24","12","17-0(22-8)",15,"11.11","3114","秋田","名古屋D",FALSE,TRUE,"人数：2534人",0,0,0,0,0,0
"35","12","19","14","13","58","23","48","47.9%","2","13","15.4%","6","13","46.2%","17","26","43","15","16","4","3","19","2","2","36","12","14","9-0(35-33)","22","11","21","11","65","12","26","46.2%","9","23","39.1%","14","21","66.7%","4","20","24","22","11","7","5","14","7","12","20","9","2","12-0(12-22)",16,"11.17","3123","秋田","新潟",TRUE,FALSE,"人数：2118人",0,0,0,0,0,0
"36","29","14","16","16","75","20","44","45.5%","9","23","39.1%","8","16","50%","19","19","38","20","8","8","4","24","7","24","26","19","19","12-0(36-12)","12","19","16","20","67","18","35","51.4%","5","21","23.8%","16","20","80%","12","21","33","17","13","3","2","18","11","4","32","4","10","8-0(43-31)",17,"11.18","3124","秋田","新潟",TRUE,FALSE,"人数：2330人",0,0,0,0,0,0
"37","17","15","14","18","64","16","51","31.4%","5","19","26.3%","17","25","68%","19","30","49","20","10","5","3","20","5","8","26","7","11","7-0(35-29)","15","14","12","21","62","15","36","41.7%","6","23","26.1%","14","21","66.7%","9","32","41","20","11","4","5","23","6","7","24","6","7","7-0(60-62)",18,"11.23","3139","秋田","三河",TRUE,FALSE,"人数：3250人",0,0,0,0,0,0
"38","16","25","25","15","81","20","36","55.6%","8","23","34.8%","17","22","77.3%","11","27","38","23","13","12","5","22","20","24","32","9","8","14-0(70-46)","15","23","8","15","61","13","31","41.9%","7","23","30.4%","14","23","60.9%","9","20","29","16","15","8","3","20","4","1","22","12","5","7-0(72-57)",19,"11.24","3140","秋田","三河",TRUE,FALSE,"人数：2997人",0,0,0,0,0,0
"39","15","28","22","14","79","23","48","47.9%","8","27","29.6%","9","15","60%","15","25","40","28","6","11","4","13","10","16","38","27","13","17-0(27-35)","26","12","12","17","67","19","36","52.8%","8","17","47.1%","5","10","50%","4","30","34","25","19","5","4","17","7","15","28","5","4","7-0(22-7)",1,"10.06","3002","栃木","福岡",FALSE,TRUE,"人数：3263人",0,0,0,0,0,0
"40","19","19","25","19","82","20","40","50%","10","30","33.3%","12","16","75%","12","19","31","26","3","8","4","19","8","13","28","20","12","8-0(39-48)","15","21","18","19","73","20","34","58.8%","7","15","46.7%","12","17","70.6%","5","29","34","24","17","2","1","22","5","1","34","3","6","12-0(32-32)",2,"10.07","3003","栃木","福岡",FALSE,TRUE,"人数：3024人",0,0,0,0,0,0
"41","25","26","29","24","104","29","53","54.7%","12","22","54.5%","10","18","55.6%","14","25","39","23","7","8","2","23","14","26","46","23","16","10-0(27-18)","18","18","22","26","84","25","46","54.3%","6","16","37.5%","16","27","59.3%","11","25","36","20","15","5","4","15","10","3","42","5","13","9-0(9-12)",3,"10.12","3004","栃木","富山",TRUE,FALSE,"人数：3796人",0,0,0,0,0,0
"42","16","17","34","18","85","27","56","48.2%","6","16","37.5%","13","22","59.1%","11","24","35","24","4","9","2","20","21","14","44","18","12","8-0(63-52)","18","18","19","25","80","24","44","54.5%","5","21","23.8%","17","23","73.9%","14","29","43","22","12","3","0","19","8","8","34","7","18","12-0(73-75)",4,"10.13","3005","栃木","富山",TRUE,FALSE,"人数：4014人",0,0,0,0,0,0
"43","20","17","16","16","79","28","63","44.4%","3","9","33.3%","14","27","51.9%","18","32","50","17","10","6","3","24","5","8","42","8","11","8-0(69-73)","16","20","19","14","74","18","44","40.9%","8","23","34.8%","14","20","70%","10","30","40","19","9","5","3","21","6","7","24","13","2","7-0(49-43)",5,"10.17","3023","栃木","A東京",FALSE,TRUE,"人数：2780人",10,5,0,0,0,0
"44","15","18","24","13","70","18","47","38.3%","5","14","35.7%","19","25","76%","13","25","38","13","9","4","4","17","8","10","36","6","6","10-0(61-51)","22","17","12","21","72","24","46","52.2%","5","19","26.3%","9","11","81.8%","11","24","35","19","7","2","1","22","5","7","38","14","13","11-0(8-13)",6,"10.20","3033","栃木","北海道",TRUE,FALSE,"人数：2807人",0,0,0,0,0,0
"45","18","21","18","22","79","20","43","46.5%","6","21","28.6%","21","32","65.6%","17","19","36","21","9","9","4","10","10","9","28","16","18","11-0(79-70)","18","16","24","12","70","22","42","52.4%","7","15","46.7%","5","6","83.3%","6","25","31","25","16","3","2","26","2","4","32","10","7","7-0(50-54)",7,"10.21","3034","栃木","北海道",TRUE,FALSE,"人数：2877人",0,0,0,0,0,0
"46","21","18","19","19","77","20","41","48.8%","7","26","26.9%","16","20","80%","14","23","37","22","12","4","4","14","2","12","36","10","18","12-0(13-24)","13","19","15","27","74","32","56","57.1%","2","11","18.2%","4","7","57.1%","11","26","37","21","15","8","4","22","15","4","62","16","10","6-0(8-4)",8,"10.24","3049","栃木","秋田",FALSE,TRUE,"人数：3766人",0,0,0,0,0,0
"47","18","16","23","29","86","24","50","48%","6","16","37.5%","20","26","76.9%","15","26","41","18","5","6","2","18","4","14","32","16","16","12-0(55-57)","23","19","15","15","72","19","43","44.2%","9","18","50%","7","13","53.8%","9","21","30","16","12","2","3","20","2","12","22","5","12","7-0(11-10)",9,"10.28","3058","栃木","北海道",FALSE,TRUE,"人数：6042人",0,0,0,0,0,0
"48","17","24","21","23","85","22","51","43.1%","8","21","38.1%","17","26","65.4%","17","28","45","20","6","7","3","16","7","26","36","11","19","9-0(44-59)","20","14","16","10","60","17","47","36.2%","5","16","31.3%","11","20","55%","14","26","40","17","13","4","1","24","4","7","28","5","9","7-0(7-0)",10,"10.29","3059","栃木","北海道",FALSE,TRUE,"人数：3425人",0,0,0,0,0,0
"49","25","22","14","19","90","24","54","44.4%","10","26","38.5%","12","15","80%","17","17","34","24","8","9","3","15","7","11","36","17","21","6-0(23-14)","21","24","22","13","93","32","49","65.3%","5","11","45.5%","14","19","73.7%","8","26","34","23","16","5","0","17","9","8","46","9","9","7-0(45-45)",11,"11.03","3078","栃木","滋賀",TRUE,FALSE,"人数：3647人",10,13,0,0,0,0
"50","30","25","25","18","98","25","39","64.1%","12","25","48%","12","15","80%","10","29","39","28","8","8","4","16","9","46","42","13","8","20-0(30-6)","6","17","17","21","61","17","44","38.6%","6","15","40%","9","16","56.3%","10","19","29","15","13","4","2","18","2","0","30","5","8","9-0(98-61)",12,"11.04","3079","栃木","滋賀",TRUE,FALSE,"人数：3489人",0,0,0,0,0,0
"51","18","17","17","21","73","21","45","46.7%","7","21","33.3%","10","13","76.9%","11","23","34","18","10","13","1","18","15","12","38","20","6","15-0(73-61)","13","15","18","15","61","19","35","54.3%","5","16","31.3%","8","12","66.7%","6","26","32","18","20","0","0","18","7","5","32","6","4","8-0(40-36)",13,"11.07","3095","栃木","千葉",TRUE,FALSE,"人数：3917人",0,0,0,0,0,0
"52","26","28","23","20","97","26","46","56.5%","12","29","41.4%","9","10","90%","16","26","42","28","7","8","2","14","23","37","46","21","14","12-0(62-31)","17","14","20","14","65","22","44","50%","5","17","29.4%","6","8","75%","10","21","31","13","15","5","7","9","0","6","42","3","9","7-0(77-53)",14,"11.10","3103","栃木","福岡",TRUE,FALSE,"人数：4016人",0,0,0,0,0,0
"53","22","29","21","14","86","22","41","53.7%","11","27","40.7%","9","12","75%","13","28","41","21","11","7","5","15","10","30","30","18","13","13-0(44-24)","15","13","15","23","66","22","43","51.2%","4","13","30.8%","10","16","62.5%","5","22","27","11","10","4","2","10","8","0","42","9","6","9-0(83-66)",15,"11.11","3104","栃木","福岡",TRUE,FALSE,"人数：3505人",0,0,0,0,0,0
"54","22","27","27","20","96","25","42","59.5%","12","24","50%","10","13","76.9%","11","24","35","25","15","8","3","22","8","31","36","20","13","12-0(30-49)","16","14","22","18","70","14","37","37.8%","5","13","38.5%","27","32","84.4%","8","18","26","17","17","12","2","14","10","2","24","12","9","8-0(13-17)",16,"11.17","3131","栃木","富山",FALSE,TRUE,"人数：3800人",0,0,0,0,0,0
"55","17","19","18","20","74","22","38","57.9%","7","26","26.9%","9","10","90%","15","27","42","20","16","7","9","17","16","13","40","17","9","10-0(61-74)","22","17","15","11","65","22","49","44.9%","3","9","33.3%","12","14","85.7%","7","20","27","14","12","8","2","16","14","10","30","15","2","10-0(20-10)",17,"11.18","3132","栃木","富山",FALSE,TRUE,"人数：4016人",0,0,0,0,0,0
"56","25","22","20","19","86","22","47","46.8%","11","26","42.3%","9","16","56.3%","10","27","37","21","6","8","2","20","17","14","32","9","10","8-0(74-83)","12","24","26","17","79","30","54","55.6%","3","10","30%","10","18","55.6%","7","32","39","18","11","3","2","14","7","3","48","3","9","11-0(29-32)",18,"11.23","3143","栃木","川崎",FALSE,TRUE,"人数：4532人",0,0,0,0,0,0
"57","14","15","22","28","79","17","38","44.7%","10","24","41.7%","15","17","88.2%","11","29","40","25","13","2","3","21","6","7","24","2","14","13-0(57-64)","19","16","20","20","75","26","49","53.1%","4","14","28.6%","11","14","78.6%","4","23","27","21","6","6","4","16","10","10","42","12","4","8-0(39-29)",19,"11.24","3144","栃木","川崎",FALSE,TRUE,"人数：4567人",0,0,0,0,0,0
"58","14","24","11","22","71","24","49","49%","6","18","33.3%","5","5","100%","9","30","39","19","9","2","5","20","3","4","28","8","13","6-0(61-61)","13","26","13","21","73","27","52","51.9%","2","13","15.4%","13","17","76.5%","8","28","36","17","7","5","4","8","10","7","32","11","8","8-0(23-16)",1,"10.06","2992","SR渋谷","A東京",FALSE,TRUE,"人数：2787人",0,0,0,0,0,0
"59","18","23","22","16","79","23","41","56.1%","8","21","38.1%","9","15","60%","5","21","26","15","7","6","2","21","7","6","36","10","6","9-0(54-60)","17","23","22","25","87","24","42","57.1%","9","19","47.4%","12","15","80%","6","29","35","19","8","4","1","19","2","12","26","13","8","11-0(81-70)",2,"10.07","2993","SR渋谷","A東京",FALSE,TRUE,"人数：3102人",0,0,0,0,0,0
"60","19","16","17","15","67","21","51","41.2%","4","20","20%","13","15","86.7%","18","23","41","13","8","14","1","20","4","17","32","23","14","8-0(38-25)","9","16","21","20","66","19","40","47.5%","7","14","50%","7","14","50%","9","29","38","15","17","6","1","17","2","2","26","6","13","10-0(52-50)",3,"10.13","3008","SR渋谷","北海道",TRUE,FALSE,"人数：2749人",0,0,0,0,0,0
"61","16","14","16","11","57","18","41","43.9%","4","23","17.4%","9","14","64.3%","13","27","40","18","13","2","3","24","2","9","22","2","6","9-0(16-7)","18","23","18","17","76","24","51","47.1%","3","13","23.1%","19","26","73.1%","14","30","44","22","7","8","2","17","6","20","40","14","10","13-0(16-20)",4,"10.14","3009","SR渋谷","北海道",TRUE,FALSE,"人数：2544人",0,0,0,0,0,0
"62","19","5","20","14","58","14","39","35.9%","6","18","33.3%","12","18","66.7%","11","25","36","15","18","10","4","18","6","3","22","16","9","9-0(32-36)","20","16","10","17","63","20","48","41.7%","3","14","21.4%","14","21","66.7%","15","27","42","10","16","12","4","17","5","13","40","14","18","10-0(23-36)",5,"10.17","3024","SR渋谷","秋田",TRUE,FALSE,"人数：1516人",0,0,0,0,0,0
"63","10","20","17","17","64","18","42","42.9%","4","24","16.7%","16","20","80%","9","31","40","15","6","5","2","18","8","2","20","11","4","5-0(29-20)","20","16","29","9","74","21","46","45.7%","6","15","40%","14","22","63.6%","7","34","41","18","8","3","1","17","4","21","34","4","5","15-0(58-37)",6,"10.20","3045","SR渋谷","三河",FALSE,TRUE,"人数：2137人",0,0,0,0,0,0
"64","18","8","20","25","71","15","41","36.6%","9","18","50%","14","16","87.5%","6","22","28","15","7","5","2","20","6","3","16","10","5","11-0(72-65)","17","20","17","22","76","21","47","44.7%","6","11","54.5%","16","21","76.2%","10","30","40","15","10","3","2","12","4","18","30","4","10","11-0(39-26)",7,"10.21","3046","SR渋谷","三河",FALSE,TRUE,"人数：2604人",0,0,0,0,0,0
