TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF,ID,YEAR,LEAGUE
山形,11,秋山 熙,PG,9,0,77:55,8:39,38,4.2,13,35,37.1%,8,19,42.1%,4,8,50.0%,3,6,9,1.0,7,0.8,2,4,0,2,5,7,3,15839,2018,2
仙台,10,菅澤 紀行,PF,13,0,142:01,10:55,38,2.9,13,41,31.7%,5,24,20.8%,7,11,63.6%,6,17,23,1.8,15,1.2,9,3,0,1,18,18,3,8469,2018,2
広島,13,山田 謙治,PG,8,0,145:20,18:10,38,4.8,12,31,38.7%,5,17,29.4%,9,14,64.3%,2,5,7,0.9,30,3.8,12,5,0,1,12,18,6,8454,2018,2
八王子,2,大城 侑朔,PG,13,0,165:32,12:44,37,2.8,17,60,28.3%,3,23,13.0%,0,2,0.0%,1,8,9,0.7,15,1.2,9,5,0,1,17,4,1,10854,2018,2
西宮,35,内藤 健太,SG,12,1,153:12,12:46,37,3.1,13,30,43.3%,6,13,46.2%,5,13,38.5%,2,14,16,1.3,14,1.2,5,7,1,2,21,12,4,10257,2018,2
愛媛,13,小原 良公,PG/SG,12,0,178:12,14:51,37,3.1,15,37,40.5%,1,6,16.7%,6,7,85.7%,7,18,25,2.1,18,1.5,12,5,0,2,23,6,4,8757,2018,2
熊本,6,柿内 輝心,PG,12,0,161:42,13:28,36,3.0,14,39,35.9%,4,17,23.5%,4,8,50.0%,7,7,14,1.2,20,1.7,8,4,0,1,14,10,3,10883,2018,2
群馬,51,根東 裕隆,PG/SG,13,0,213:04,16:23,36,2.8,15,48,31.3%,1,14,7.1%,5,6,83.3%,6,21,27,2.1,41,3.2,12,16,0,0,29,18,6,8613,2018,2
金沢,33,与那嶺 翼,PG,13,1,212:18,16:19,35,2.7,12,37,32.4%,0,7,0.0%,11,16,68.8%,8,13,21,1.6,34,2.6,10,7,0,2,19,10,4,9274,2018,2
奈良,23,横江 豊,PG,6,5,89:02,14:50,34,5.7,15,32,46.9%,1,4,25.0%,3,6,50.0%,2,9,11,1.8,10,1.7,11,2,0,3,15,10,4,8461,2018,2
茨城,12,ジャーラ 志多斗,C,13,3,167:18,12:52,33,2.5,13,29,44.8%,0,0,0.0%,7,14,50.0%,14,41,55,4.2,3,0.2,8,2,3,1,25,12,5,12635,2018,2
島根,11,後藤 翔平,PG,11,0,148:44,13:31,33,3.0,13,32,40.6%,6,16,37.5%,1,10,10.0%,4,14,18,1.6,21,1.9,10,6,0,2,15,14,4,9264,2018,2
島根,13,阿部 諒,SG,10,0,92:13,9:13,32,3.2,12,27,44.4%,3,10,30.0%,5,12,41.7%,3,10,13,1.3,10,1.0,6,4,3,1,11,10,3,15756,2018,2
島根,1,和田 保彦,PG/SG,12,0,113:08,9:25,32,2.7,12,36,33.3%,5,22,22.7%,3,4,75.0%,1,9,10,0.8,12,1.0,9,7,1,2,23,10,2,8665,2018,2
信州,17,飯田 遼,PG/SG,12,0,91:13,7:36,27,2.3,8,19,42.1%,7,14,50.0%,4,7,57.1%,6,5,11,0.9,2,0.2,2,4,0,1,10,5,2,15826,2018,2
熊本,15,寺下 太基,SF/PF,10,0,63:10,6:19,27,2.7,13,21,61.9%,1,2,50.0%,0,0,0.0%,6,10,16,1.6,3,0.3,3,1,3,0,13,3,4,8560,2018,2
熊本,7,小林 慎太郎,SG,8,5,158:47,19:50,26,3.3,7,37,18.9%,3,24,12.5%,9,10,90.0%,3,10,13,1.6,14,1.8,3,7,1,2,13,7,3,9350,2018,2
熊本,5,チリジ・ネパウエ,C,3,3,61:27,20:29,24,8.0,7,13,53.8%,0,0,0.0%,10,17,58.8%,4,19,23,7.7,0,0.0,5,0,3,1,9,9,11,9369,2018,2
茨城,16,久保田 遼,PF,13,1,90:57,6:59,24,1.8,7,25,28.0%,3,8,37.5%,7,9,77.8%,4,13,17,1.3,5,0.4,7,1,1,3,13,5,2,8682,2018,2
山形,12,高濱 拓矢,SG,11,0,69:19,6:18,23,2.1,7,28,25.0%,6,23,26.1%,3,4,75.0%,1,3,4,0.4,1,0.1,2,1,0,0,5,4,0,9351,2018,2
信州,26,上杉 翔,SF/PF,13,2,132:11,10:10,22,1.7,8,27,29.6%,2,17,11.8%,4,6,66.7%,7,11,18,1.4,9,0.7,4,8,0,1,28,7,2,8672,2018,2
熊本,47,並里 祐,PG,7,0,59:29,8:29,22,3.1,4,13,30.8%,3,5,60.0%,11,16,68.8%,1,2,3,0.4,4,0.6,7,1,0,0,16,11,1,8570,2018,2
茨城,5,友利 健哉,PG,13,1,94:59,7:18,22,1.7,7,22,31.8%,3,12,25.0%,5,8,62.5%,3,12,15,1.2,9,0.7,5,6,0,1,4,9,2,8673,2018,2
群馬,15,嶋田 基志,C,13,1,160:56,12:22,20,1.5,6,20,30.0%,0,1,0.0%,8,12,66.7%,9,18,27,2.1,3,0.2,3,2,1,3,24,12,2,9054,2018,2
金沢,21,鈴木 豊,SF/PF,11,2,103:22,9:23,20,1.8,7,25,28.0%,6,19,31.6%,0,0,0.0%,3,7,10,0.9,6,0.5,4,6,0,0,15,2,2,9273,2018,2
愛媛,12,藤田 浩司,SF,13,0,52:39,4:03,19,1.5,7,17,41.2%,3,7,42.9%,2,2,100.0%,2,7,9,0.7,1,0.1,3,2,1,2,10,1,1,9402,2018,2
福島,51,安慶 大樹,PF,12,0,54:52,4:34,18,1.5,8,18,44.4%,0,5,0.0%,2,2,100.0%,6,2,8,0.7,2,0.2,7,0,0,1,11,5,1,9410,2018,2
信州,3,蒲谷 正之,SG,13,0,131:58,10:09,18,1.4,8,34,23.5%,2,12,16.7%,0,0,0.0%,3,14,17,1.3,9,0.7,3,5,0,4,16,4,2,8455,2018,2
愛媛,8,加藤 悠三,SG,12,0,44:45,3:43,17,1.4,6,18,33.3%,5,12,41.7%,0,0,0.0%,0,4,4,0.3,3,0.3,1,0,0,0,5,0,1,9086,2018,2
愛媛,9,矢代 雪次郎,PG/SG,13,6,100:01,7:41,16,1.2,7,30,23.3%,2,14,14.3%,0,0,0.0%,4,9,13,1.0,17,1.3,3,2,0,2,19,2,2,9413,2018,2
香川,17,石川 智也,PG,12,2,185:33,15:27,16,1.3,3,35,8.6%,1,4,25.0%,9,14,64.3%,9,11,20,1.7,14,1.2,10,6,3,3,19,12,1,9077,2018,2
西宮,47,土屋 アリスター時生,C,12,4,130:22,10:51,16,1.3,7,16,43.8%,0,0,0.0%,2,4,50.0%,7,10,17,1.4,2,0.2,5,4,4,2,23,5,2,10258,2018,2
東京Z,33,西山 達哉,PG/SG,1,1,19:09,19:09,15,15.0,5,9,55.6%,3,3,100.0%,2,2,100.0%,1,0,1,1.0,6,6.0,1,0,0,0,1,1,17,8547,2018,2
広島,1,村上 駿斗,PG/SG,11,0,70:30,6:24,14,1.3,7,18,38.9%,0,1,0.0%,0,0,0.0%,2,4,6,0.5,7,0.6,3,4,0,1,6,1,2,8615,2018,2
愛媛,2,堤 啓士朗,PG,13,6,170:02,13:04,14,1.1,6,31,19.4%,2,13,15.4%,0,4,0.0%,3,18,21,1.6,37,2.8,12,2,1,2,15,6,3,9314,2018,2
群馬,4,佐竹 宥哉,SF,7,0,44:42,6:23,14,2.0,6,14,42.9%,1,2,50.0%,1,2,50.0%,1,4,5,0.7,0,0.0,0,1,0,1,4,1,2,15856,2018,2
東京Z,3,小島 佑太,SF/PF,13,0,157:56,12:08,12,0.9,5,22,22.7%,0,7,0.0%,2,2,100.0%,12,16,28,2.2,15,1.2,6,9,3,1,23,6,3,8759,2018,2
東京Z,41,輪島 射矢,SG,9,0,24:42,2:44,12,1.3,4,9,44.4%,4,9,44.4%,0,0,0.0%,1,1,2,0.2,0,0.0,0,1,0,0,5,2,1,8679,2018,2
茨城,11,須田 昂太郎,SG/SF,10,0,28:36,2:51,12,1.2,4,12,33.3%,4,12,33.3%,0,0,0.0%,0,1,1,0.1,0,0.0,0,0,0,0,2,0,1,15843,2018,2
青森,39,船山 裕士,PF,9,1,70:29,7:49,11,1.2,5,15,33.3%,1,7,14.3%,0,0,0.0%,2,6,8,0.9,5,0.6,2,2,0,0,12,2,2,15797,2018,2
青森,21,橋本 龍弥,PG,11,1,68:11,6:11,11,1.0,4,14,28.6%,3,6,50.0%,0,0,0.0%,2,4,6,0.5,6,0.5,8,1,1,1,10,1,1,9459,2018,2
