"","1Q.A","2Q.A","3Q.A","4Q.A","F.A","2POINTSFGM.A","2POINTSFGA.A","2POINTSFGR.A","3POINTSFGM.A","3POINTSFGA.A","3POINTSFGR.A","FREE-THROWSM.A","FREE-THROWSA.A","FREE-THROWSR.A","OFFENSIVEREBOUNDS.A","DEFENSIVEREBOUNDS.A","TOTALREBOUNDS.A","ASSIST.A","TURNOVER.A","STEALS.A","BLOCKS.A","FOULS.A","FASTBREAKPOINTS.A","BIGGESTLEAD.A","POINTSINTHEPAINT.A","POINTSFROMTURNOVER.A","SECONDCHANCEPOINTS.A","BIGGESTSCORINGRUN.A","1Q.B","2Q.B","3Q.B","4Q.B","F.B","2POINTSFGM.B","2POINTSFGA.B","2POINTSFGR.B","3POINTSFGM.B","3POINTSFGA.B","3POINTSFGR.B","FREE-THROWSM.B","FREE-THROWSA.B","FREE-THROWSR.B","OFFENSIVEREBOUNDS.B","DEFENSIVEREBOUNDS.B","TOTALREBOUNDS.B","ASSIST.B","TURNOVER.B","STEALS.B","BLOCKS.B","FOULS.B","FASTBREAKPOINTS.B","BIGGESTLEAD.B","POINTSINTHEPAINT.B","POINTSFROMTURNOVER.B","SECONDCHANCEPOINTS.B","BIGGESTSCORINGRUN.B","GAMEIDX","DATE","TEAM.A","TEAM.B"
"24","21","17","29","21","88","22","37","59.5%","10","27","37%","14","17","82.4%","8","30","38","20","14","10","1","16","2","16","38","14","6","12-0(9-16)","13","15","26","28","82","20","39","51.3%","10","26","38.5%","12","20","60%","8","25","33","11","15","7","1","19","0","7","30","18","0","11-0(70-72)",24,"12.17","êÏçË","é†âÍ"
"25","34","22","29","16","101","21","36","58.3%","13","26","50%","20","27","74.1%","10","34","44","26","12","5","1","18","2","38","30","10","8","10-0(12-37)","12","17","18","23","70","18","38","47.4%","8","26","30.8%","10","17","58.8%","8","20","28","10","12","5","2","25","4","0","26","9","4","5-0(32-56)",25,"12.18","êÏçË","é†âÍ"
"26","29","16","20","28","93","26","44","59.1%","8","17","47.1%","17","21","81%","10","30","40","22","14","3","1","16","8","20","44","7","7","16-0(16-0)","14","30","15","22","81","22","49","44.9%","10","28","35.7%","7","8","87.5%","15","18","33","14","8","8","3","19","11","1","38","10","15","14-0(29-25)",26,"12.23","êÏçË","Aìåãû"
"27","25","21","19","27","92","24","53","45.3%","9","27","33.3%","17","22","77.3%","21","23","44","14","9","5","0","19","0","2","42","5","15","11-0(80-92)","27","30","25","24","106","30","44","68.2%","11","25","44%","13","14","92.9%","6","28","34","14","7","8","3","22","6","23","42","13","6","7-0(25-32)",27,"12.24","êÏçË","Aìåãû"
"28","27","24","22","23","96","27","47","57.4%","9","15","60%","15","18","83.3%","6","22","28","23","11","8","3","12","10","21","44","17","6","8-0(32-49)","17","19","18","36","90","30","45","66.7%","9","27","33.3%","3","6","50%","11","21","32","19","11","4","3","19","6","0","54","8","11","10-0(76-81)",28,"12.30","êÏçË","êÁót"
"29","24","18","20","22","84","19","44","43.2%","9","17","52.9%","19","25","76%","10","35","45","19","14","5","3","15","5","23","30","7","9","10-0(7-26)","7","20","36","19","82","23","43","53.5%","9","34","26.5%","9","13","69.2%","13","28","41","13","9","7","7","21","10","2","44","10","10","11-0(49-49)",29,"12.31","êÏçË","êÁót"
"30","22","15","24","22","83","29","50","58%","4","14","28.6%","13","16","81.3%","9","33","42","20","13","6","1","16","8","9","48","8","10","8-0(14-5)","21","21","18","20","80","22","48","45.8%","9","28","32.1%","9","11","81.8%","13","22","35","8","8","9","9","17","8","7","30","10","8","9-0(32-39)",30,"1.14","êÏçË","à¿ó{KGC"
"31","17","18","19","15","69","20","49","40.8%","6","17","35.3%","11","21","52.4%","13","30","43","7","12","9","6","14","6","15","34","8","10","9-0(22-19)","19","9","15","23","66","18","44","40.9%","6","21","28.6%","12","14","85.7%","10","32","42","15","14","8","4","18","0","8","20","5","4","8-0(7-15)",31,"1.18","êÏçË","SRèaíJ"
"32","14","14","24","8","60","17","48","35.4%","4","12","33.3%","14","19","73.7%","11","25","36","11","11","1","2","18","0","0","26","0","6","8-0(15-12)","21","22","16","13","72","25","48","52.1%","4","14","28.6%","10","18","55.6%","12","28","40","17","9","8","4","17","2","15","38","12","8","11-0(11-0)",32,"1.21","êÏçË","ì»ñÿ"
"33","18","15","22","24","79","26","47","55.3%","4","14","28.6%","15","19","78.9%","13","28","41","12","7","3","4","15","2","12","42","0","10","11-0(44-40)","22","22","11","15","70","24","56","42.9%","5","21","23.8%","7","12","58.3%","20","19","39","16","4","4","1","21","4","15","30","2","18","6-0(8-2)",33,"1.22","êÏçË","ì»ñÿ"
