TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF
京都,43,永吉 佑也,PF/C,57,56,1508:55:00,26:28:00,469,8.2,171,416,41.10%,48,140,34.30%,79,116,68.10%,56,169,225,3.9,89,1.6,68,28,14,26,92,114,8
大阪,11,デイビッド・ウェア,SF/PF,60,13,988:44:00,16:28,462,7.7,185,443,41.80%,39,136,28.70%,53,65,81.50%,78,195,273,4.6,63,1.1,47,21,11,16,92,63,9
滋賀,34,狩野 祐介,SG,57,48,1379:48:00,24:12:00,459,8.1,158,376,42.00%,83,217,38.20%,60,70,85.70%,21,38,59,1,54,0.9,34,21,0,10,66,69,6
千葉,8,レオ・ライオンズ,SF/PF,41,1,948:24:00,23:07,455,11.1,167,354,47.20%,30,96,31.30%,91,122,74.60%,52,182,234,5.7,115,2.8,79,33,17,15,91,97,14
北海道,8,多嶋 朝飛,PG,60,55,1357:12:00,22:37,454,7.6,160,353,45.30%,43,127,33.90%,91,102,89.20%,19,91,110,1.8,279,4.7,99,47,2,10,97,133,10
島根,18,相馬 卓弥,SG,59,56,1474:23:00,24:59:00,449,7.6,170,467,36.40%,69,190,36.30%,40,58,69.00%,27,135,162,2.7,159,2.7,90,54,6,26,128,92,7
名古屋D,9,安藤 周人,SG,56,32,1351:58:00,24:08:00,448,8,157,385,40.80%,89,245,36.30%,45,59,76.30%,27,121,148,2.6,95,1.7,50,23,7,10,65,63,8
滋賀,6,長谷川 智伸,SG/SF,56,28,1341:12:00,23:57,436,7.8,143,394,36.30%,79,241,32.80%,71,107,66.40%,23,75,98,1.8,70,1.3,69,43,2,23,114,108,5
名古屋D,12,中東 泰斗,SG,56,44,1424:41:00,25:26:00,432,7.7,167,409,40.80%,49,155,31.60%,49,77,63.60%,70,159,229,4.1,129,2.3,71,64,17,18,84,69,9
栃木,4,ジェフ・ギブス,PF/C,35,29,766:45:00,21:54,430,12.3,152,309,49.20%,15,51,29.40%,111,135,82.20%,84,160,244,7,67,1.9,52,56,18,20,107,112,17
琉球,24,田代 直希,SF/PF,59,47,1145:32:00,19:24,424,7.2,145,347,41.80%,84,201,41.80%,50,66,75.80%,58,111,169,2.9,80,1.4,62,25,7,22,114,62,7
京都,91,片岡 大晴,SG,60,8,1176:45:00,19:36,422,7,152,352,43.20%,31,90,34.40%,87,103,84.50%,16,80,96,1.6,84,1.4,61,30,3,15,84,92,6
