"","#","S","PLAYER","PO","MIN","PTS","FGM","FGA","FG%","3FGM","3FGA","3FG%","FTM","FTA","FT%","OR","DR","TR","AS","TO","ST","BS","BSR","F","FD","DUNK","EFF","SHEDULEKEY","TEAM"
"886",24,"〇","田中 成也田中","SG","31:11",11,4,8,"50.0%",3,4,"75.0%",0,0,"-",0,2,2,6,5,2,1,1,1,1,0,13,"3583","広島"
"887",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",5,0,5,0,0,0,0,0,1,0,0,5,"3583","広島"
"888",NA,"","合計","","200:00",84,31,65,"47.7%",4,10,"40.0%",18,22,"81.8%",12,28,40,22,15,14,5,3,24,21,6,112,"3583","広島"
"889",2,"","福澤 晃平福澤","PG/SG","14:10",6,3,7,"42.9%",0,3,"0.0%",0,0,"-",0,1,1,1,1,0,0,0,2,1,0,3,"3600","茨城"
"890",5,"〇","友利 健哉友利","PG","04:53",0,0,1,"0.0%",0,1,"0.0%",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,-1,"3600","茨城"
"891",11,"","須田 昂太郎須田","SG/SF","00:04",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3600","茨城"
"892",12,"","ジャーラ 志多斗ジャーラ","C","11:48",4,2,5,"40.0%",0,0,"-",0,0,"-",3,1,4,0,2,0,0,0,3,0,0,3,"3600","茨城"
"893",14,"","髙橋 祐二髙橋","PG","35:03",12,5,10,"50.0%",0,1,"0.0%",2,3,"66.7%",1,2,3,7,1,4,0,1,2,4,0,19,"3600","茨城"
"894",16,"","久保田 遼久保田","PF","00:37",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3600","茨城"
"895",21,"〇","コナー・ラマートラマート","PF","34:20",6,3,10,"30.0%",0,4,"0.0%",0,0,"-",2,8,10,3,0,1,2,0,5,1,0,15,"3600","茨城"
"896",25,"〇","平尾 充庸平尾","PG","31:27",8,2,6,"33.3%",0,0,"-",4,4,"100.0%",0,1,1,4,1,0,0,0,3,2,0,8,"3600","茨城"
"897",27,"〇","眞庭 城聖眞庭","SF","32:05",9,4,9,"44.4%",1,4,"25.0%",0,0,"-",3,3,6,2,2,0,0,0,0,3,0,10,"3600","茨城"
"898",33,"〇","カール・バプティストバプティスト","PF","35:33",20,8,16,"50.0%",1,2,"50.0%",3,5,"60.0%",0,8,8,0,3,0,0,0,3,6,1,15,"3600","茨城"
"899",55,"","横尾 達泰横尾","SG/SF","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3600","茨城"
"900",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",2,3,5,0,1,0,0,0,0,0,0,4,"3600","茨城"
"901",NA,"","合計","","200:00",65,27,64,"42.2%",2,15,"13.3%",9,12,"75.0%",11,27,38,17,11,5,2,1,18,17,1,76,"3600","茨城"
"902",2,"","徳川 慎之介徳川","SG","11:37",4,2,2,"100.0%",0,0,"-",0,0,"-",0,1,1,0,0,0,0,0,1,1,0,5,"3600","福島"
"903",4,"","猪狩 渉猪狩","PG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3600","福島"
"904",8,"〇","村上 慎也村上","PG","36:38",6,2,8,"25.0%",0,1,"0.0%",2,2,"100.0%",1,3,4,9,1,1,0,0,0,1,0,13,"3600","福島"
"905",9,"〇","神原 裕司神原","PG/SG","29:54",6,2,8,"25.0%",0,2,"0.0%",2,2,"100.0%",0,0,0,1,1,2,0,1,2,2,0,2,"3600","福島"
"906",18,"","川満 寿史川満","SF","04:58",2,1,2,"50.0%",0,1,"0.0%",0,0,"-",0,2,2,0,1,0,0,0,2,0,0,2,"3600","福島"
"907",24,"〇","鈴木 大鈴木","PG/SG","21:31",2,1,4,"25.0%",0,1,"0.0%",0,2,"0.0%",0,2,2,2,1,0,1,0,1,3,0,1,"3600","福島"
"908",30,"〇","イバン・ラベネルラベネル","PF","28:59",17,7,17,"41.2%",0,0,"-",3,5,"60.0%",4,4,8,1,1,0,0,0,3,7,0,13,"3600","福島"
"909",32,"","武藤 修平武藤","PF","19:09",6,3,6,"50.0%",0,2,"0.0%",0,0,"-",2,2,4,0,3,0,0,0,0,1,0,4,"3600","福島"
"910",34,"","前田 陽介前田","PF","13:23",0,0,2,"0.0%",0,1,"0.0%",0,0,"-",0,1,1,0,0,1,0,0,2,0,0,0,"3600","福島"
"911",43,"〇","クリス・ブレディブレディ","C","32:22",16,7,13,"53.8%",1,2,"50.0%",1,1,"100.0%",2,11,13,2,4,0,0,1,4,3,2,21,"3600","福島"
"912",51,"","安慶 大樹安慶","PF","01:29",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,1,0,0,0,2,0,0,-1,"3600","福島"
"913",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",3,0,3,0,0,0,0,0,0,0,0,3,"3600","福島"
"914",NA,"","合計","","200:00",59,25,62,"40.3%",1,10,"10.0%",8,12,"66.7%",12,26,38,15,13,4,1,2,17,18,2,63,"3600","福島"
"915",2,"","福澤 晃平福澤","PG/SG","18:45",0,0,2,"0.0%",0,2,"0.0%",0,0,"-",1,0,1,0,0,0,0,0,2,0,0,-1,"3530","茨城"
"916",5,"","友利 健哉友利","PG","10:04",5,1,4,"25.0%",1,2,"50.0%",2,2,"100.0%",0,3,3,1,0,0,0,0,0,1,0,6,"3530","茨城"
"917",11,"","須田 昂太郎須田","SG/SF","00:40",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3530","茨城"
"918",12,"","ジャーラ 志多斗ジャーラ","C","08:45",4,2,2,"100.0%",0,0,"-",0,0,"-",1,4,5,0,0,0,0,0,1,0,0,9,"3530","茨城"
"919",14,"〇","髙橋 祐二髙橋","PG","28:09",6,1,7,"14.3%",0,2,"0.0%",4,6,"66.7%",0,0,0,3,1,2,0,1,2,3,0,2,"3530","茨城"
"920",16,"","久保田 遼久保田","PF","01:59",0,0,0,"-",0,0,"-",0,0,"-",0,1,1,0,0,0,0,0,1,0,0,1,"3530","茨城"
"921",21,"〇","コナー・ラマートラマート","PF","31:03",6,3,4,"75.0%",0,0,"-",0,1,"0.0%",0,13,13,2,1,1,0,0,1,1,0,19,"3530","茨城"
"922",25,"〇","平尾 充庸平尾","PG","24:45",7,2,3,"66.7%",0,0,"-",3,4,"75.0%",0,1,1,6,2,1,0,0,2,3,0,11,"3530","茨城"
