"","#","S","PLAYER","PO","MIN","PTS","FGM","FGA","FG%","3FGM","3FGA","3FG%","FTM","FTA","FT%","OR","DR","TR","AS","TO","ST","BS","BSR","F","FD","DUNK","EFF","SHEDULEKEY","TEAM"
"176",43,"〇","カディーム・コールビーコールビー","PF/C","27:14",6,1,4,"25.0%",0,0,"-",4,6,"66.7%",2,5,7,0,3,1,5,0,4,4,0,11,"2989","秋田"
"177",55,"","谷口 大智谷口","PF/C","10:40",0,0,5,"0.0%",0,4,"0.0%",0,0,"-",0,1,1,0,0,0,0,0,1,0,0,-4,"2989","秋田"
"178",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",2,3,5,0,0,0,0,0,0,0,0,5,"2989","秋田"
"179",NA,"","合計","","200:00",66,22,63,"34.9%",11,35,"31.4%",11,17,"64.7%",14,26,40,19,17,6,6,4,28,22,0,73,"2989","秋田"
"180",0,"","石崎 巧石崎","PG/SG","01:57",1,0,0,"-",0,0,"-",1,2,"50.0%",0,0,0,0,0,0,0,0,0,1,0,0,"2989","琉球"
"181",1,"","橋本 竜馬橋本","PG","17:17",4,1,4,"25.0%",1,4,"25.0%",1,2,"50.0%",0,0,0,1,2,2,0,0,4,1,0,1,"2989","琉球"
"182",3,"〇","並里 成並里","PG","31:21",17,5,9,"55.6%",0,1,"0.0%",7,7,"100.0%",2,3,5,8,1,3,0,2,1,9,0,28,"2989","琉球"
"183",6,"","金城　茂之金城","SG/SF","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"2989","琉球"
"184",11,"","須田 侑太郎須田","SG/SF","20:57",7,1,5,"20.0%",1,4,"25.0%",4,6,"66.7%",3,1,4,1,2,0,0,0,4,4,0,4,"2989","琉球"
"185",12,"〇","ジェフ・エアーズエアーズ","PF","17:52",4,1,5,"20.0%",0,1,"0.0%",2,2,"100.0%",2,4,6,0,0,0,1,1,4,1,0,7,"2989","琉球"
"186",14,"〇","岸本 隆一岸本","PG/SG","28:42",9,3,11,"27.3%",3,7,"42.9%",0,0,"-",1,3,4,3,3,2,0,1,3,1,0,7,"2989","琉球"
"187",21,"","寒竹 隼人寒竹","SF/PF","00:50",0,0,0,"-",0,0,"-",0,0,"-",0,1,1,0,0,0,0,0,0,0,0,1,"2989","琉球"
"188",24,"","田代 直希田代","SF","10:54",6,2,3,"66.7%",2,3,"66.7%",0,0,"-",3,2,5,1,1,0,0,0,1,0,0,10,"2989","琉球"
"189",40,"〇","ジョシュ・スコットスコット","C","33:50",13,4,8,"50.0%",0,0,"-",5,7,"71.4%",0,10,10,1,3,1,1,1,3,8,1,17,"2989","琉球"
"190",51,"〇","古川 孝敏古川","SF","36:20",10,4,14,"28.6%",1,7,"14.3%",1,2,"50.0%",0,2,2,0,1,2,2,1,2,3,0,4,"2989","琉球"
"191",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",4,4,8,0,0,0,0,0,0,0,0,8,"2989","琉球"
"192",NA,"","合計","","200:00",71,21,59,"35.6%",8,27,"29.6%",21,28,"75.0%",15,30,45,15,13,10,4,6,22,28,1,87,"2989","琉球"
"193",2,"","山口 祐希山口","PG","04:12",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,1,1,0,0,0,1,0,0,0,"3012","新潟"
"194",3,"〇","柏木 真介柏木","PG","24:41",7,3,8,"37.5%",1,3,"33.3%",0,0,"-",2,2,4,4,2,4,0,1,1,4,0,12,"3012","新潟"
"195",7,"〇","五十嵐 圭五十嵐","PG","31:02",13,3,9,"33.3%",2,8,"25.0%",5,6,"83.3%",0,1,1,5,2,0,0,0,4,3,0,10,"3012","新潟"
"196",11,"","鵜澤 潤鵜澤","PF","11:18",5,2,3,"66.7%",0,1,"0.0%",1,1,"100.0%",1,1,2,0,0,0,0,0,3,1,0,6,"3012","新潟"
"197",14,"","石井 峻平石井","SG/SF","02:18",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3012","新潟"
"198",16,"〇","渡辺 竜之佑渡辺","PG/SG","19:30",8,4,9,"44.4%",0,0,"-",0,0,"-",4,3,7,3,1,1,1,1,3,0,0,14,"3012","新潟"
"199",18,"","森井 健太森井","PG","19:41",6,0,5,"0.0%",0,2,"0.0%",6,6,"100.0%",1,1,2,3,1,2,0,0,3,5,0,7,"3012","新潟"
"200",22,"","上江田 勇樹上江田","SG/SF","11:36",2,1,6,"16.7%",0,2,"0.0%",0,0,"-",3,0,3,0,0,0,0,0,1,3,0,0,"3012","新潟"
"201",32,"","池田 雄一池田","SF","13:14",0,0,1,"0.0%",0,1,"0.0%",0,0,"-",2,1,3,0,2,0,0,0,0,0,0,0,"3012","新潟"
"202",34,"〇","ラモント・ハミルトンハミルトン","PF/C","30:27",14,6,9,"66.7%",0,0,"-",2,6,"33.3%",1,9,10,1,4,2,3,0,5,4,3,19,"3012","新潟"
"203",54,"〇","ダバンテ・ガードナーガードナー","C","32:01",29,8,13,"61.5%",1,3,"33.3%",12,16,"75.0%",4,6,10,0,1,2,1,0,4,12,1,32,"3012","新潟"
"204",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",0,1,1,0,2,0,0,0,0,0,0,-1,"3012","新潟"
"205",NA,"","合計","","200:00",84,27,63,"42.9%",4,20,"20.0%",26,35,"74.3%",18,25,43,17,16,11,5,2,25,32,4,99,"3012","新潟"
"206",7,"","野本 建吾野本","SF/PF","03:50",3,1,1,"100.0%",0,0,"-",1,2,"50.0%",0,0,0,0,1,0,0,0,2,1,0,1,"3012","秋田"
"207",8,"","下山 大地下山","SG","20:58",10,4,8,"50.0%",2,5,"40.0%",0,0,"-",0,0,0,1,0,0,0,0,2,0,0,7,"3012","秋田"
"208",9,"","白濱 僚祐白濱","SF","13:32",2,1,2,"50.0%",0,1,"0.0%",0,0,"-",0,1,1,2,0,0,0,0,1,0,0,4,"3012","秋田"
"209",13,"〇","成田 正弘成田","PG","13:38",0,0,3,"0.0%",0,1,"0.0%",0,0,"-",1,2,3,2,1,0,0,0,3,0,0,1,"3012","秋田"
"210",15,"","下山 貴裕下山","PF","06:10",2,1,2,"50.0%",0,0,"-",0,0,"-",0,2,2,0,0,0,0,0,2,0,0,3,"3012","秋田"
"211",17,"〇","中山 拓哉中山","PG/SG","35:18",13,3,8,"37.5%",0,0,"-",7,12,"58.3%",3,3,6,5,4,3,0,2,3,7,0,13,"3012","秋田"
"212",24,"","保岡 龍斗保岡","SG","08:40",0,0,2,"0.0%",0,1,"0.0%",0,0,"-",0,0,0,0,0,0,0,0,2,0,0,-2,"3012","秋田"
"213",33,"","俊野 達彦俊野","PG/SG","10:36",0,0,2,"0.0%",0,0,"-",0,0,"-",0,0,0,1,3,1,0,0,3,0,0,-3,"3012","秋田"
"214",34,"〇","小野寺 祥太小野寺","PG","25:52",2,1,5,"20.0%",0,0,"-",0,0,"-",0,0,0,5,2,0,0,2,2,3,0,1,"3012","秋田"
"215",40,"〇","ジャスティン・キーナンキーナン","PF/C","24:31",28,9,18,"50.0%",0,3,"0.0%",10,13,"76.9%",4,6,10,0,2,1,0,1,3,11,2,25,"3012","秋田"
"216",43,"〇","カディーム・コールビーコールビー","PF/C","24:24",5,2,5,"40.0%",0,0,"-",1,2,"50.0%",4,4,8,2,3,0,2,0,4,1,0,10,"3012","秋田"
"217",55,"","谷口 大智谷口","PF/C","12:31",9,3,6,"50.0%",3,6,"50.0%",0,0,"-",1,4,5,0,1,1,0,0,5,1,0,11,"3012","秋田"
"218",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",4,1,5,0,1,0,0,0,0,0,0,4,"3012","秋田"
"219",NA,"","合計","","200:00",74,25,62,"40.3%",5,17,"29.4%",19,29,"65.5%",17,23,40,18,18,6,2,5,32,24,2,75,"3012","秋田"
"220",2,"","山口 祐希山口","PG","03:06",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,1,0,0,0,"3013","新潟"
"221",3,"〇","柏木 真介柏木","PG","30:44",5,1,6,"16.7%",1,5,"20.0%",2,2,"100.0%",0,2,2,2,5,1,0,1,3,3,0,0,"3013","新潟"
"222",7,"〇","五十嵐 圭五十嵐","PG","27:00",11,3,7,"42.9%",1,4,"25.0%",4,5,"80.0%",1,1,2,6,2,0,0,0,3,4,0,12,"3013","新潟"
