"","#","S","PLAYER","PO","MIN","PTS","FGM","FGA","FG%","3FGM","3FGA","3FG%","FTM","FTA","FT%","OR","DR","TR","AS","TO","ST","BS","BSR","F","FD","DUNK","EFF","SHEDULEKEY","TEAM"
"27",2,"〇","カレン・ルッソルッソ","SF/PF","36:52",16,7,19,"36.8%",1,8,"12.5%",1,1,"100.0%",0,12,12,4,1,1,0,0,2,2,3,20,"3527","青森"
"28",3,"","鮫島 和人鮫島","PG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3527","青森"
"29",8,"","佐野 太一佐野","PG/SG","25:34",8,3,12,"25.0%",0,6,"0.0%",2,2,"100.0%",0,2,2,0,0,1,0,0,0,1,0,2,"3527","青森"
"30",9,"","野里 惇貴野里","SG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3527","青森"
"31",18,"〇","菅 俊男菅","SF","27:40",7,3,3,"100.0%",0,0,"-",1,1,"100.0%",2,3,5,5,3,2,0,0,4,2,0,16,"3527","青森"
"32",21,"","橋本 龍弥橋本","PG","01:18",0,0,0,"-",0,0,"-",0,0,"-",1,0,1,0,0,0,0,0,0,0,0,1,"3527","青森"
"33",22,"〇","門馬 圭二郎門馬","SG/SF","25:56",4,2,4,"50.0%",0,1,"0.0%",0,1,"0.0%",1,1,2,1,0,2,0,0,4,2,0,6,"3527","青森"
"34",27,"〇","ユリアス・ユツィカスユツィカス","PF/C","26:52",21,10,19,"52.6%",0,1,"0.0%",1,2,"50.0%",4,4,8,1,4,0,0,0,4,3,1,16,"3527","青森"
"35",32,"","臼井 弘樹臼井","PF","21:02",6,3,6,"50.0%",0,1,"0.0%",0,0,"-",0,1,1,0,0,1,1,0,0,1,0,6,"3527","青森"
"36",39,"","船山 裕士船山","PF","01:46",0,0,1,"0.0%",0,1,"0.0%",0,0,"-",0,0,0,0,0,0,0,0,1,0,0,-1,"3527","青森"
"37",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",1,0,1,0,1,0,0,0,1,0,0,0,"3527","青森"
"38",NA,"","合計","","200:00",71,32,74,"43.2%",2,21,"9.5%",5,7,"71.4%",9,24,33,15,12,10,1,0,16,11,4,74,"3527","青森"
"39",0,"〇","山本 エドワード山本","PG","18:53",6,2,3,"66.7%",1,1,"100.0%",1,1,"100.0%",0,1,1,4,2,2,0,0,0,0,0,10,"3527","FE名古屋"
"40",1,"","宮崎 恭行宮崎","PG","17:46",0,0,4,"0.0%",0,1,"0.0%",0,0,"-",1,1,2,1,2,0,0,0,1,0,0,-3,"3527","FE名古屋"
"41",5,"","伊藤 大伊藤","SG","04:44",0,0,0,"-",0,0,"-",0,0,"-",0,1,1,3,0,0,0,0,0,0,0,4,"3527","FE名古屋"
"42",12,"〇","野崎 零也野崎","SG","25:45",15,4,6,"66.7%",3,4,"75.0%",4,4,"100.0%",0,2,2,5,1,1,0,1,0,5,0,20,"3527","FE名古屋"
"43",14,"","兒玉 貴通兒玉","PG","21:07",10,5,7,"71.4%",0,0,"-",0,0,"-",0,2,2,2,1,0,0,0,1,0,0,11,"3527","FE名古屋"
"44",16,"","坂本 健坂本","PF","09:09",7,2,2,"100.0%",0,0,"-",3,3,"100.0%",0,1,1,0,0,0,0,0,1,3,1,8,"3527","FE名古屋"
"45",24,"〇","ジョシュ・ホーキンソンホーキンソン","PF/C","33:38",28,12,19,"63.2%",2,5,"40.0%",2,2,"100.0%",1,10,11,4,2,0,0,0,0,3,0,34,"3527","FE名古屋"
"46",41,"〇","ギャレット・スタツスタツ","C","31:26",22,10,19,"52.6%",0,1,"0.0%",2,3,"66.7%",4,9,13,5,2,0,0,0,2,2,1,28,"3527","FE名古屋"
"47",42,"〇","伊藤 大和伊藤","PG/SG","22:14",6,2,6,"33.3%",1,4,"25.0%",1,1,"100.0%",0,0,0,2,1,2,0,0,3,1,0,5,"3527","FE名古屋"
"48",88,"","高村 成寿高村","PF","15:18",0,0,3,"0.0%",0,2,"0.0%",0,0,"-",0,5,5,1,2,1,0,0,3,0,0,2,"3527","FE名古屋"
"49",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",1,2,3,0,0,0,0,0,0,0,0,3,"3527","FE名古屋"
"50",NA,"","合計","","200:00",94,37,69,"53.6%",7,18,"38.9%",13,14,"92.9%",7,34,41,27,13,6,0,1,11,14,2,122,"3527","FE名古屋"
"51",3,"","蒲谷 正之蒲谷","SG","17:20",2,1,6,"16.7%",0,1,"0.0%",0,0,"-",0,3,3,3,0,1,0,2,1,0,0,4,"3552","信州"
"52",5,"〇","武井 弘明武井","PG","25:53",5,2,4,"50.0%",1,2,"50.0%",0,0,"-",0,2,2,3,2,1,1,1,0,1,0,8,"3552","信州"
"53",6,"","齋藤 崇人齋藤","PG","04:45",6,1,3,"33.3%",0,2,"0.0%",4,4,"100.0%",0,0,0,0,0,1,0,0,0,2,0,5,"3552","信州"
"54",11,"〇","石川 海斗石川","PG","23:09",7,3,5,"60.0%",0,2,"0.0%",1,2,"50.0%",0,1,1,8,2,0,0,0,0,2,0,11,"3552","信州"
"55",12,"","栗原 ルイス栗原","SG","19:34",6,2,4,"50.0%",2,4,"50.0%",0,0,"-",0,1,1,2,2,0,0,0,1,0,0,5,"3552","信州"
"56",17,"","飯田 遼飯田","PG/SG","09:44",8,2,2,"100.0%",2,2,"100.0%",2,4,"50.0%",1,1,2,1,0,0,0,0,0,2,0,9,"3552","信州"
"57",19,"〇","大崎 裕太大崎","PG/SG","18:15",20,8,11,"72.7%",4,5,"80.0%",0,0,"-",1,1,2,0,0,2,1,0,1,0,0,22,"3552","信州"
"58",26,"","上杉 翔上杉","SF/PF","13:03",4,0,2,"0.0%",0,2,"0.0%",4,4,"100.0%",2,2,4,2,1,1,0,0,4,3,0,8,"3552","信州"
"59",31,"","三ツ井 利也三ツ井","SF/PF","11:43",4,1,4,"25.0%",1,4,"25.0%",1,2,"50.0%",0,3,3,1,0,3,0,1,0,1,0,7,"3552","信州"
"60",50,"〇","ウェイン・マーシャルマーシャル","C","28:16",25,10,17,"58.8%",1,2,"50.0%",4,5,"80.0%",1,4,5,1,0,4,3,2,3,3,0,30,"3552","信州"
"61",55,"〇","アンソニー・マクヘンリーマクヘンリー","PF/C","28:18",21,9,16,"56.3%",3,5,"60.0%",0,0,"-",3,8,11,7,0,0,0,0,3,2,0,32,"3552","信州"
"62",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",2,3,5,0,0,0,0,0,0,0,0,5,"3552","信州"
"63",NA,"","合計","","200:00",108,39,74,"52.7%",14,31,"45.2%",16,21,"76.2%",10,29,39,28,7,13,5,6,13,16,0,146,"3552","信州"
"64",0,"〇","會田 圭佑會田","PG","23:33",7,3,8,"37.5%",1,3,"33.3%",0,0,"-",0,0,0,3,1,1,0,1,2,0,0,5,"3552","青森"
"65",2,"〇","カレン・ルッソルッソ","SF/PF","33:47",29,9,25,"36.0%",4,11,"36.4%",7,8,"87.5%",5,5,10,4,5,2,1,0,2,8,1,24,"3552","青森"
"66",3,"","鮫島 和人鮫島","PG","03:52",0,0,0,"-",0,0,"-",0,0,"-",0,1,1,0,0,0,0,0,3,0,0,1,"3552","青森"
"67",8,"","佐野 太一佐野","PG/SG","21:10",7,3,5,"60.0%",1,2,"50.0%",0,0,"-",1,1,2,2,1,0,0,0,0,0,0,8,"3552","青森"
"68",18,"〇","菅 俊男菅","SF","33:06",7,3,8,"37.5%",1,2,"50.0%",0,0,"-",2,8,10,1,2,1,0,1,0,0,0,12,"3552","青森"
"69",21,"","橋本 龍弥橋本","PG","04:45",3,1,2,"50.0%",1,1,"100.0%",0,0,"-",0,0,0,1,1,0,0,0,2,0,0,2,"3552","青森"
"70",22,"〇","門馬 圭二郎門馬","SG/SF","22:21",0,0,3,"0.0%",0,3,"0.0%",0,0,"-",1,2,3,0,3,0,1,0,2,0,0,-2,"3552","青森"
"71",27,"〇","ユリアス・ユツィカスユツィカス","PF/C","27:49",11,4,15,"26.7%",0,2,"0.0%",3,5,"60.0%",2,4,6,2,3,0,2,3,2,4,0,5,"3552","青森"
"72",32,"","臼井 弘樹臼井","PF","19:29",6,3,5,"60.0%",0,0,"-",0,2,"0.0%",2,5,7,2,2,0,2,0,1,1,0,11,"3552","青森"
"73",39,"","船山 裕士船山","PF","10:08",3,1,2,"50.0%",1,2,"50.0%",0,0,"-",0,0,0,1,0,0,0,0,2,0,0,3,"3552","青森"
"74",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",6,0,6,0,1,0,0,0,0,0,0,5,"3552","青森"
"75",NA,"","合計","","200:00",73,27,73,"37.0%",9,26,"34.6%",10,15,"66.7%",19,26,45,16,19,4,6,5,16,13,1,74,"3552","青森"
"76",3,"","蒲谷 正之蒲谷","SG","14:21",7,3,3,"100.0%",1,1,"100.0%",0,0,"-",0,4,4,2,0,0,0,0,1,0,0,13,"3553","信州"
"77",5,"〇","武井 弘明武井","PG","22:01",9,3,5,"60.0%",3,4,"75.0%",0,0,"-",4,3,7,2,0,1,1,0,2,1,0,18,"3553","信州"
"78",6,"","齋藤 崇人齋藤","PG","03:13",0,0,2,"0.0%",0,1,"0.0%",0,0,"-",0,0,0,1,1,0,0,0,0,0,0,-2,"3553","信州"
"79",11,"〇","石川 海斗石川","PG","23:40",11,3,7,"42.9%",1,2,"50.0%",4,4,"100.0%",0,0,0,7,2,1,0,0,2,4,0,13,"3553","信州"
"80",12,"","栗原 ルイス栗原","SG","21:06",8,2,5,"40.0%",2,4,"50.0%",2,2,"100.0%",0,2,2,0,1,1,0,0,1,1,0,7,"3553","信州"
"81",17,"","飯田 遼飯田","PG/SG","05:58",2,1,2,"50.0%",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,1,0,0,1,"3553","信州"
"82",19,"〇","大崎 裕太大崎","PG/SG","25:51",5,1,6,"16.7%",1,6,"16.7%",2,2,"100.0%",1,0,1,5,1,1,0,0,1,1,0,6,"3553","信州"
"83",26,"","上杉 翔上杉","SF/PF","08:33",2,1,2,"50.0%",0,1,"0.0%",0,0,"-",0,0,0,1,1,1,0,0,2,0,0,2,"3553","信州"
"84",31,"","三ツ井 利也三ツ井","SF/PF","07:03",0,0,0,"-",0,0,"-",0,0,"-",0,1,1,0,0,0,0,0,0,0,0,1,"3553","信州"
"85",50,"〇","ウェイン・マーシャルマーシャル","C","33:02",30,12,19,"63.2%",1,4,"25.0%",5,7,"71.4%",0,6,6,2,2,3,0,0,2,8,1,30,"3553","信州"
"86",55,"〇","アンソニー・マクヘンリーマクヘンリー","PF/C","35:12",23,9,14,"64.3%",1,1,"100.0%",4,5,"80.0%",3,10,13,7,3,2,0,0,2,4,0,36,"3553","信州"
"87",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",0,2,2,0,1,0,0,0,0,0,0,1,"3553","信州"
"88",NA,"","合計","","200:00",97,35,65,"53.8%",10,24,"41.7%",17,20,"85.0%",8,28,36,27,12,10,1,0,14,19,1,126,"3553","信州"
"89",0,"〇","會田 圭佑會田","PG","34:42",5,2,6,"33.3%",1,3,"33.3%",0,0,"-",0,2,2,2,3,0,0,1,1,0,0,2,"3553","青森"
"90",2,"〇","カレン・ルッソルッソ","SF/PF","37:08",35,13,23,"56.5%",4,10,"40.0%",5,7,"71.4%",2,5,7,3,6,5,0,0,4,7,2,32,"3553","青森"
"91",3,"","鮫島 和人鮫島","PG","01:51",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3553","青森"
"92",8,"","佐野 太一佐野","PG/SG","33:03",3,1,11,"9.1%",1,3,"33.3%",0,0,"-",0,4,4,4,1,1,0,0,4,1,0,1,"3553","青森"
"93",18,"〇","菅 俊男菅","SF","36:47",8,3,8,"37.5%",1,1,"100.0%",1,2,"50.0%",1,6,7,2,2,0,0,0,1,4,0,9,"3553","青森"
"94",21,"","橋本 龍弥橋本","PG","03:13",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3553","青森"
"95",22,"〇","門馬 圭二郎門馬","SG/SF","05:06",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,1,0,0,"3553","青森"
"96",27,"〇","ユリアス・ユツィカスユツィカス","PF/C","29:42",19,8,13,"61.5%",3,5,"60.0%",0,0,"-",1,3,4,3,2,0,0,0,5,0,1,19,"3553","青森"
"97",32,"","臼井 弘樹臼井","PF","13:10",4,2,4,"50.0%",0,1,"0.0%",0,0,"-",1,2,3,0,0,0,0,0,3,1,0,5,"3553","青森"
"98",39,"","船山 裕士船山","PF","05:18",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,1,0,0,0,1,0,0,-1,"3553","青森"
"99",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",2,2,4,0,0,0,0,0,0,0,0,4,"3553","青森"
"100",NA,"","合計","","200:00",74,29,65,"44.6%",10,23,"43.5%",6,9,"66.7%",7,24,31,14,15,6,0,1,19,14,3,71,"3553","青森"
"101",1,"〇","中島 良史中島","PG/SG","30:33",12,4,13,"30.8%",1,7,"14.3%",3,5,"60.0%",0,5,5,5,3,1,0,0,3,3,0,9,"3564","山形"
"102",2,"","高松 勇介高松","PG","19:15",5,0,3,"0.0%",0,0,"-",5,5,"100.0%",0,1,1,6,2,0,0,1,2,4,0,7,"3564","山形"
"103",6,"","岩田 涼太岩田","SG/SF","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3564","山形"
"104",7,"","古橋 広樹古橋","SG/SF","26:55",10,4,11,"36.4%",1,6,"16.7%",1,2,"50.0%",0,3,3,5,0,2,1,0,0,3,0,13,"3564","山形"
"105",9,"〇","佐藤 正成佐藤","SG/SF","19:00",0,0,3,"0.0%",0,1,"0.0%",0,0,"-",0,1,1,1,1,1,1,0,0,0,0,0,"3564","山形"
"106",11,"","秋山 熙秋山","PG","04:01",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3564","山形"
"107",12,"","高濱 拓矢高濱","SG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3564","山形"
"108",14,"〇","チュクゥディエベレ・マドゥアバムマドゥアバム","PF/C","38:45",15,5,7,"71.4%",0,0,"-",5,8,"62.5%",8,3,11,2,1,2,6,0,4,6,2,30,"3564","山形"
"109",23,"〇","ウィル・ヘンリーヘンリー","SF/PF","37:29",29,12,21,"57.1%",1,3,"33.3%",4,7,"57.1%",4,7,11,1,3,2,0,1,2,6,0,28,"3564","山形"
"110",37,"〇","河野 誠司河野","PG","20:16",9,3,6,"50.0%",3,4,"75.0%",0,0,"-",0,1,1,7,1,1,0,0,1,1,0,14,"3564","山形"
"111",50,"","伊澤 実孝伊澤","SF/PF","03:46",0,0,2,"0.0%",0,0,"-",0,0,"-",0,1,1,0,0,0,0,0,1,0,0,-1,"3564","山形"
"112",75,"","赤土 裕典赤土","SF/PF","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3564","山形"
"113",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",2,2,4,0,0,0,0,0,0,0,0,4,"3564","山形"
"114",NA,"","合計","","200:00",80,28,66,"42.4%",6,21,"28.6%",18,27,"66.7%",14,24,38,27,11,9,8,2,13,23,2,104,"3564","山形"
"115",0,"〇","會田 圭佑會田","PG","36:46",14,5,13,"38.5%",2,4,"50.0%",2,2,"100.0%",1,8,9,11,0,2,0,2,3,2,0,28,"3564","青森"
"116",2,"〇","カレン・ルッソルッソ","SF/PF","40:00",18,7,13,"53.8%",1,6,"16.7%",3,6,"50.0%",2,12,14,1,7,3,1,1,4,5,3,21,"3564","青森"
"117",3,"","鮫島 和人鮫島","PG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3564","青森"
"118",8,"","佐野 太一佐野","PG/SG","24:21",16,6,9,"66.7%",3,5,"60.0%",1,1,"100.0%",0,1,1,2,0,0,0,0,3,1,0,16,"3564","青森"
"119",18,"〇","菅 俊男菅","SF","25:41",9,4,5,"80.0%",1,1,"100.0%",0,0,"-",2,2,4,1,1,0,0,0,4,1,0,12,"3564","青森"
"120",21,"","橋本 龍弥橋本","PG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3564","青森"
"121",22,"〇","門馬 圭二郎門馬","SG/SF","31:01",16,6,10,"60.0%",3,7,"42.9%",1,2,"50.0%",2,0,2,0,0,1,0,0,2,1,0,14,"3564","青森"
"122",27,"〇","ユリアス・ユツィカスユツィカス","PF/C","27:22",12,5,11,"45.5%",0,0,"-",2,3,"66.7%",0,7,7,2,4,1,1,3,5,3,0,12,"3564","青森"
"123",32,"","臼井 弘樹臼井","PF","14:49",5,2,5,"40.0%",1,1,"100.0%",0,0,"-",0,0,0,1,1,0,0,2,3,0,0,2,"3564","青森"
"124",39,"","船山 裕士船山","PF","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3564","青森"
"125",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",2,2,4,0,0,0,0,0,0,0,0,4,"3564","青森"
"126",NA,"","合計","","200:00",90,35,66,"53.0%",11,24,"45.8%",9,14,"64.3%",9,32,41,18,13,7,2,8,24,13,3,109,"3564","青森"
"127",1,"〇","中島 良史中島","PG/SG","46:08",29,6,11,"54.5%",1,4,"25.0%",16,17,"94.1%",3,5,8,5,3,1,0,0,3,11,0,34,"3565","山形"
"128",2,"","高松 勇介高松","PG","08:36",0,0,2,"0.0%",0,1,"0.0%",0,0,"-",0,1,1,1,0,1,0,0,1,2,0,1,"3565","山形"
"129",6,"","岩田 涼太岩田","SG/SF","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3565","山形"
"130",7,"〇","古橋 広樹古橋","SG/SF","22:18",0,0,5,"0.0%",0,4,"0.0%",0,0,"-",1,1,2,0,1,0,0,0,1,2,0,-4,"3565","山形"
"131",9,"","佐藤 正成佐藤","SG/SF","28:15",7,3,6,"50.0%",1,3,"33.3%",0,0,"-",3,1,4,0,0,0,0,0,0,2,0,8,"3565","山形"
"132",11,"","秋山 熙秋山","PG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3565","山形"
"133",12,"","高濱 拓矢高濱","SG","03:19",0,0,1,"0.0%",0,1,"0.0%",0,0,"-",0,0,0,0,0,0,0,0,1,0,0,-1,"3565","山形"
"134",14,"〇","チュクゥディエベレ・マドゥアバムマドゥアバム","PF/C","45:58",9,3,8,"37.5%",0,0,"-",3,5,"60.0%",3,8,11,1,4,0,3,2,3,5,2,13,"3565","山形"
"135",23,"〇","ウィル・ヘンリーヘンリー","SF/PF","34:52",23,10,19,"52.6%",1,2,"50.0%",2,5,"40.0%",1,10,11,5,9,2,0,2,5,3,0,20,"3565","山形"
"136",37,"〇","河野 誠司河野","PG","41:24",11,3,9,"33.3%",2,4,"50.0%",3,4,"75.0%",0,1,1,8,1,1,0,0,4,2,0,13,"3565","山形"
"137",50,"","伊澤 実孝伊澤","SF/PF","19:10",16,6,10,"60.0%",3,3,"100.0%",1,2,"50.0%",0,2,2,0,0,0,0,0,1,0,0,13,"3565","山形"
"138",75,"","赤土 裕典赤土","SF/PF","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3565","山形"
"139",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",0,6,6,0,1,0,0,0,0,0,0,5,"3565","山形"
"140",NA,"","合計","","250:00",95,31,71,"43.7%",8,22,"36.4%",25,33,"75.8%",11,35,46,20,19,5,3,4,19,27,2,102,"3565","山形"
"141",0,"〇","會田 圭佑會田","PG","46:36",11,5,14,"35.7%",1,3,"33.3%",0,0,"-",1,3,4,8,1,1,0,1,3,1,0,14,"3565","青森"
"142",2,"〇","カレン・ルッソルッソ","SF/PF","47:55",38,15,33,"45.5%",6,15,"40.0%",2,4,"50.0%",2,11,13,6,4,1,2,1,5,6,1,36,"3565","青森"
"143",3,"","鮫島 和人鮫島","PG","02:05",0,0,1,"0.0%",0,1,"0.0%",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,-1,"3565","青森"
"144",8,"","佐野 太一佐野","PG/SG","26:27",9,2,8,"25.0%",1,5,"20.0%",4,4,"100.0%",0,0,0,1,0,0,0,0,3,3,0,4,"3565","青森"
"145",18,"〇","菅 俊男菅","SF","27:49",3,1,4,"25.0%",0,1,"0.0%",1,1,"100.0%",1,2,3,2,0,1,0,0,5,1,0,6,"3565","青森"
"146",21,"","橋本 龍弥橋本","PG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3565","青森"
"147",22,"〇","門馬 圭二郎門馬","SG/SF","31:24",3,1,4,"25.0%",0,2,"0.0%",1,2,"50.0%",1,0,1,0,2,3,0,0,5,2,0,1,"3565","青森"
"148",27,"〇","ユリアス・ユツィカスユツィカス","PF/C","36:47",25,11,17,"64.7%",1,2,"50.0%",2,3,"66.7%",5,5,10,2,5,3,2,1,4,4,2,30,"3565","青森"
"149",32,"","臼井 弘樹臼井","PF","20:27",2,1,2,"50.0%",0,0,"-",0,2,"0.0%",2,4,6,1,1,0,0,0,1,1,0,5,"3565","青森"
"150",39,"","船山 裕士船山","PF","10:30",2,1,4,"25.0%",0,2,"0.0%",0,0,"-",0,1,1,1,0,1,0,0,1,1,0,2,"3565","青森"
"151",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",4,4,8,0,1,0,0,0,0,0,0,7,"3565","青森"
"152",NA,"","合計","","250:00",93,37,87,"42.5%",9,31,"29.0%",10,16,"62.5%",16,30,46,21,14,10,4,3,27,19,3,104,"3565","青森"
"153",0,"〇","會田 圭佑會田","PG","30:14",23,9,12,"75.0%",5,6,"83.3%",0,0,"-",1,0,1,4,1,0,0,1,0,0,0,24,"3580","青森"
"154",2,"〇","カレン・ルッソルッソ","SF/PF","37:30",17,5,15,"33.3%",2,8,"25.0%",5,8,"62.5%",0,10,10,6,1,2,3,0,1,5,0,24,"3580","青森"
"155",3,"","鮫島 和人鮫島","PG","02:30",3,1,1,"100.0%",1,1,"100.0%",0,0,"-",0,2,2,0,0,0,0,0,0,0,0,5,"3580","青森"
"156",8,"","佐野 太一佐野","PG/SG","22:45",5,2,6,"33.3%",1,4,"25.0%",0,0,"-",2,2,4,2,5,2,0,0,1,0,0,4,"3580","青森"
