"RANK","PLAYER","TEAM","G","GS","MIN","MINPG","PPG","FGMPG","FGAPG","FG%","2FGMPG","2FGAPG","2FG%","3FGMPG","3FGAPG","3FG%","FTMPG","FTAPG","FT%","ORPG","DRPG","RPG","APG","TOPG","STPG","BSPG","BSRPG","FPG","FDPG","EFFPG","PLUSMINUS","POSITION"
142,"ティージェー・ロール","京都",11,0,178.0,16.2,6.8,2.3,5.8,"39.1%",1.5,3.6,"42.5%",0.7,2.2,"33.3%",1.5,2.5,"63.0%",1.1,1.8,2.9,1.5,0.8,0.6,0.1,0.6,2.3,2.1,5.7,-2.2,""
143,"多嶋 朝飛","茨城",59,43,1355.4,23.0,6.8,2.6,5.4,"48.4%",1.9,3.8,"50.0%",0.7,1.7,"44.9%",0.8,1.0,"82.5%",0.4,1.5,1.9,3.1,1.0,0.8,0.0,0.3,1.4,1.4,8.2,0.4,"PG"
144,"キング 開","横浜BC",45,26,811.2,18.0,6.7,2.7,6.8,"39.7%",1.7,3.6,"47.0%",1.0,3.1,"31.2%",0.3,0.6,"53.8%",0.7,0.9,1.6,1.2,0.5,0.4,0.1,0.2,1.1,0.6,4.5,2.5,"PG/SG"
145,"野﨑 零也","FE名古屋",52,51,1206.9,23.2,6.7,2.4,5.8,"41.1%",1.6,3.4,"48.0%",0.8,2.4,"31.5%",1.1,1.3,"80.0%",0.5,1.3,1.7,2.2,1.3,0.9,0.1,0.3,1.6,1.4,6.1,-1.9,"SG"
146,"福澤 晃平","茨城",53,0,701.7,13.2,6.6,2.3,5.8,"39.1%",1.1,2.5,"43.1%",1.2,3.3,"36.2%",0.9,1.1,"78.3%",0.2,0.6,0.7,1.4,0.6,0.4,0.0,0.2,1.4,1.2,4.3,-0.2,"PG/SG"
147,"ベイリー・スティール","仙台",9,0,127.5,14.2,6.6,2.4,4.8,"51.2%",2.2,3.9,"57.1%",0.2,0.9,"25.0%",1.4,2.2,"65.0%",2.4,3.4,5.9,0.2,1.4,0.0,0.1,0.2,1.1,2.3,9.2,-2.7,""
148,"中山 拓哉","秋田",60,59,1554.0,25.9,6.5,2.2,5.4,"41.0%",1.3,3.0,"42.2%",1.0,2.4,"39.6%",1.2,1.5,"77.5%",1.6,2.8,4.4,4.0,1.3,1.7,0.1,0.2,2.2,2.0,11.5,2.6,"PG/SG"
149,"中村 浩陸","FE名古屋",48,21,905.6,18.9,6.4,2.1,5.5,"38.2%",1.4,3.2,"43.9%",0.7,2.2,"29.9%",1.6,2.1,"77.8%",0.4,0.7,1.1,2.1,1.4,0.7,0.0,0.4,2.5,2.2,4.5,-2.0,"PG/SG"
150,"澁田 怜音","新潟",57,48,1473.5,25.9,6.4,2.4,5.8,"41.9%",1.3,2.8,"46.3%",1.1,2.9,"37.7%",0.4,0.6,"66.7%",0.3,0.9,1.2,3.1,1.8,0.8,0.1,0.2,2.6,1.5,4.9,-8.5,"PG"
151,"遠藤 善","新潟",57,39,1397.5,24.5,6.3,2.4,6.0,"40.0%",1.2,2.6,"46.6%",1.2,3.4,"34.9%",0.3,0.5,"63.3%",0.4,1.4,1.8,1.8,1.3,0.5,0.1,0.3,1.9,1.0,4.3,-6.9,"SG"
152,"小林 遥太","仙台",57,42,1379.6,24.2,6.3,2.3,5.8,"38.7%",1.6,3.8,"41.5%",0.7,2.0,"33.6%",1.1,1.3,"81.3%",0.4,1.4,1.7,3.7,1.3,0.6,0.0,0.3,2.2,1.8,6.7,-2.0,"PG"
153,"鵤 誠司","宇都宮",60,60,1454.4,24.2,6.2,2.3,6.1,"37.2%",1.2,2.9,"43.0%",1.1,3.3,"32.1%",0.6,0.8,"73.3%",0.6,2.0,2.6,3.5,1.6,1.1,0.3,0.2,1.6,1.1,7.4,2.5,"PG"
154,"木下 誠","大阪",58,1,909.1,15.7,6.1,2.2,5.4,"39.9%",1.1,2.5,"43.5%",1.1,2.9,"36.7%",0.7,0.9,"71.7%",0.3,1.2,1.5,2.2,1.2,0.7,0.2,0.1,1.0,1.1,5.7,-0.4,"PG/SG"
155,"長谷川 暢","秋田",58,38,987.0,17.0,6.0,2.1,5.6,"37.7%",1.3,3.1,"42.0%",0.8,2.5,"32.2%",1.0,1.4,"72.5%",0.4,1.1,1.5,1.9,0.8,0.6,0.0,0.3,1.9,1.4,4.6,0.6,"PG"
156,"ジュリアン・マブンガ","宇都宮",9,0,118.7,13.2,6.0,1.7,5.3,"31.3%",0.9,2.2,"40.0%",0.8,3.1,"25.0%",1.9,2.6,"73.9%",0.1,1.0,1.1,2.1,1.9,0.4,0.1,0.0,2.0,3.0,4.6,-8.7,""
157,"橋本 拓哉","大阪",60,5,1085.1,18.1,5.9,2.0,5.7,"35.6%",1.1,3.1,"36.4%",0.9,2.7,"34.6%",1.0,1.1,"89.1%",0.3,1.5,1.8,1.6,1.1,0.5,0.1,0.3,1.7,1.1,4.2,-1.9,"SG"
158,"シズ・オルストン","三河",21,19,405.8,19.3,5.9,2.6,6.5,"40.4%",2.2,4.5,"48.9%",0.4,2.0,"21.4%",0.2,0.3,"57.1%",0.3,1.4,1.7,3.1,1.0,0.8,0.2,0.2,1.6,1.0,5.8,-5.8,""
159,"合田 怜","大阪",53,47,1107.3,20.9,5.8,2.0,5.0,"41.1%",0.7,1.5,"44.9%",1.4,3.5,"39.5%",0.4,0.4,"87.0%",0.4,1.5,1.9,1.4,0.5,1.1,0.0,0.3,2.1,1.0,5.3,2.6,"PG/SG"
160,"満田 丈太郎","京都",47,30,1117.4,23.8,5.8,2.1,5.5,"38.8%",1.0,2.0,"48.9%",1.2,3.6,"33.3%",0.3,0.6,"53.8%",0.5,1.4,1.9,1.5,0.6,0.6,0.0,0.2,1.8,0.7,4.3,-1.4,"SG/SF"
161,"渡辺 翔太","仙台",21,5,455.4,21.7,5.8,2.0,6.0,"32.8%",0.8,2.4,"33.3%",1.1,3.5,"32.4%",0.7,1.0,"68.2%",0.5,1.7,2.2,2.8,1.2,0.8,0.1,0.5,2.2,1.8,5.1,-0.6,"PG"
162,"須藤 昂矢","横浜BC",60,42,1262.2,21.0,5.8,2.1,5.4,"38.8%",0.8,1.8,"46.2%",1.3,3.6,"35.2%",0.3,0.4,"76.0%",0.3,1.0,1.3,0.7,0.6,0.5,0.2,0.2,2.4,0.9,2.8,0.9,"SG"
163,"キャメロン・クラットウィグ","茨城",37,2,579.6,15.7,5.7,2.4,4.1,"58.7%",2.4,4.0,"59.1%",0.0,0.0,"0.0%",0.9,1.5,"59.6%",1.4,3.9,5.3,2.7,1.5,0.7,0.2,0.2,1.4,1.5,10.7,-2.0,"C"
164,"イホール・ボヤルキム","A東京",8,1,154.0,19.2,5.6,1.9,6.3,"30.0%",1.0,3.1,"32.0%",0.9,3.1,"28.0%",1.0,1.5,"66.7%",0.4,0.8,1.1,3.1,1.6,0.3,0.0,0.3,2.0,2.1,3.5,-5.1,""
165,"ジョシュア・クロフォード","新潟",7,0,131.5,18.8,5.6,2.1,5.3,"40.5%",2.0,3.9,"51.9%",0.1,1.4,"10.0%",1.1,1.9,"61.5%",1.0,4.6,5.6,1.3,1.7,0.9,0.4,0.6,2.1,2.6,8.0,-9.0,""
166,"石川 海斗","FE名古屋",57,39,1164.1,20.4,5.5,2.0,5.6,"35.4%",1.0,2.1,"49.2%",1.0,3.5,"27.4%",0.6,0.7,"81.0%",0.2,0.7,0.9,2.6,1.4,0.8,0.1,0.2,1.5,1.1,4.0,-3.3,"PG"
167,"木村 圭吾","新潟",57,26,1361.0,23.9,5.5,1.9,5.9,"32.6%",0.8,2.1,"39.7%",1.1,3.7,"28.6%",0.6,0.8,"73.9%",0.5,2.0,2.4,2.6,1.6,0.6,0.1,0.1,2.1,0.9,4.1,-6.1,"SG"
168,"小野 龍猛","富山",57,36,1343.6,23.6,5.5,1.8,5.9,"30.5%",0.9,2.5,"38.6%",0.8,3.4,"24.7%",1.0,1.5,"69.4%",0.4,2.1,2.5,3.1,1.4,0.3,0.3,0.1,2.1,1.3,4.8,-5.7,"SF"
169,"張本 天傑","名古屋D",34,5,522.5,15.4,5.4,1.6,4.6,"35.9%",0.7,1.6,"47.2%",0.9,3.0,"30.1%",1.2,1.6,"79.2%",0.5,1.2,1.7,0.8,0.8,0.4,0.2,0.1,1.8,1.4,3.9,4.4,"SF/PF"
170,"アイザイア・マーフィー","広島",59,13,1213.4,20.6,5.4,2.1,4.9,"41.8%",1.1,2.1,"54.5%",0.9,2.9,"32.7%",0.3,0.7,"46.3%",0.6,1.4,2.0,1.1,0.6,0.7,0.3,0.1,2.0,0.8,4.3,1.6,"PG/SG"
171,"シェーファー アヴィ幸樹","三河",43,42,882.5,20.5,5.4,2.1,4.9,"42.2%",1.5,3.0,"51.2%",0.5,1.9,"28.0%",0.7,1.0,"71.4%",1.1,3.0,4.1,1.0,0.7,0.6,0.2,0.3,1.1,0.9,7.0,-6.2,"C"
172,"ギャレット・スタツ","広島",3,0,38.1,12.7,5.3,2.3,5.3,"43.8%",2.3,5.0,"46.7%",0.0,0.3,"0.0%",0.7,0.7,"100.0%",1.3,3.7,5.0,0.3,1.3,0.3,0.3,0.3,2.3,0.3,4.7,-4.0,""
173,"小島 元基","SR渋谷",47,16,762.7,16.2,5.3,1.8,4.4,"40.1%",1.0,2.3,"43.5%",0.8,2.1,"36.4%",1.0,1.2,"82.5%",0.3,0.9,1.2,3.0,1.2,0.6,0.0,0.2,1.1,1.4,6.2,-3.2,"PG"
174,"ダニエル・ギデンズ","三遠",41,12,831.1,20.3,5.2,2.1,3.8,"56.5%",2.1,3.7,"56.9%",0.0,0.0,"0.0%",1.0,2.1,"48.2%",2.3,2.8,5.1,1.1,0.8,0.4,1.1,0.2,2.3,1.6,8.5,-3.4,"C"
175,"鈴木 達也","大阪",60,57,1360.9,22.7,5.2,1.9,4.9,"38.6%",1.1,2.6,"41.4%",0.8,2.3,"35.5%",0.6,0.8,"80.0%",0.5,1.7,2.1,4.4,1.3,0.8,0.1,0.2,1.9,1.4,7.5,-1.4,"PG"
176,"笹山 貴哉","FE名古屋",60,3,1058.2,17.6,5.2,1.9,6.0,"31.9%",0.9,2.5,"34.5%",1.1,3.5,"30.1%",0.3,0.4,"76.9%",0.1,0.7,0.7,1.7,0.9,0.4,0.1,0.1,1.6,0.6,2.0,-3.3,"PG"
177,"LJ・ピーク","茨城",11,0,133.2,12.1,5.2,1.7,4.9,"35.2%",1.4,3.0,"45.5%",0.4,1.9,"19.0%",1.4,1.9,"71.4%",0.2,1.7,1.9,1.0,0.8,0.2,0.2,0.2,1.3,1.9,4.4,-6.2,""
178,"晴山 ケビン","富山",57,20,1057.2,18.5,5.2,1.5,4.0,"37.4%",0.3,0.7,"35.7%",1.2,3.2,"37.8%",0.9,1.2,"80.6%",0.3,1.0,1.4,0.9,0.6,0.4,0.2,0.1,1.6,0.9,3.9,-3.8,"SF"
179,"モサク ダミロラ","新潟",38,12,544.5,14.3,5.1,1.9,4.9,"39.5%",1.4,2.9,"49.5%",0.5,2.0,"25.0%",0.8,1.1,"75.0%",0.6,1.0,1.5,1.0,0.9,0.6,0.0,0.3,1.5,1.1,3.5,-4.0,"PG/SG"
