"RANK","PLAYER","TEAM","G","GS","MIN","MINPG","PPG","FGMPG","FGAPG","FG%","2FGMPG","2FGAPG","2FG%","3FGMPG","3FGAPG","3FG%","FTMPG","FTAPG","FT%","ORPG","DRPG","RPG","APG","TOPG","STPG","BSPG","BSRPG","FPG","FDPG","EFFPG","PLUSMINUS","POSITION"
289,"満尾 竜次","FE名古屋",8,3,71.2,8.9,1.9,0.5,1.3,"40.0%",0.3,0.8,"33.3%",0.3,0.5,"50.0%",0.6,0.8,"83.3%",0.4,0.9,1.3,0.8,0.5,0.4,0.0,0.1,0.5,0.6,2.9,-4.5,"SG/SF"
290,"小西 聖也","京都",56,15,740.4,13.2,1.8,0.7,1.8,"37.8%",0.5,1.2,"41.2%",0.2,0.5,"30.0%",0.3,0.4,"72.0%",0.8,0.8,1.6,1.7,0.6,0.4,0.0,0.2,1.1,1.3,3.8,-0.7,"PG/SG"
291,"米山 ジャバ 偉生","千葉J",28,0,266.3,9.5,1.8,0.7,1.9,"35.2%",0.5,1.0,"51.9%",0.2,1.0,"18.5%",0.3,0.3,"77.8%",0.4,0.9,1.3,0.3,0.3,0.3,0.0,0.1,1.0,0.3,1.3,0.9,"SG/SF"
292,"田渡 修人","SR渋谷",30,5,272.0,9.1,1.8,0.6,1.9,"33.3%",0.1,0.4,"33.3%",0.5,1.5,"33.3%",0.0,0.0,"0.0%",0.3,0.5,0.9,1.1,0.1,0.3,0.0,0.0,1.1,0.1,1.5,-0.5,"SG"
293,"渡辺 竜之佑","SR渋谷",54,16,649.2,12.0,1.7,0.8,1.4,"53.2%",0.7,1.3,"56.3%",0.0,0.1,"16.7%",0.2,0.3,"60.0%",1.0,1.3,2.3,1.4,0.6,0.5,0.1,0.2,2.0,0.6,2.9,1.5,"PG/SG"
294,"井上 宗一郎","SR渋谷",42,1,246.0,5.9,1.7,0.6,1.7,"33.8%",0.3,0.5,"63.2%",0.3,1.2,"23.1%",0.3,0.4,"73.3%",0.1,0.8,0.9,0.2,0.3,0.1,0.1,0.1,1.0,0.3,0.7,-2.5,"PF"
295,"宇都宮 陸","A東京",3,0,3.9,1.3,1.7,0.7,1.0,"66.7%",0.3,0.7,"50.0%",0.3,0.3,"100.0%",0.0,0.0,"0.0%",0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.3,-3.0,""
296,"冨岡 大地","新潟",23,0,214.1,9.3,1.7,0.6,1.8,"33.3%",0.3,0.7,"50.0%",0.3,1.1,"23.1%",0.2,0.3,"66.7%",0.2,0.3,0.5,1.2,0.7,0.3,0.0,0.0,1.1,0.5,1.0,-2.9,"PG"
297,"鶴巻 啓太","茨城",57,8,655.1,11.5,1.7,0.6,1.5,"42.5%",0.5,0.8,"57.8%",0.2,0.7,"26.2%",0.2,0.2,"64.3%",0.3,0.8,1.0,0.6,0.3,0.4,0.1,0.1,1.1,0.3,1.6,-3.3,"SG/SF"
298,"野本 大智","滋賀",46,3,434.1,9.4,1.6,0.5,1.6,"34.2%",0.3,0.8,"38.5%",0.2,0.7,"29.4%",0.3,0.4,"73.7%",0.3,0.5,0.8,0.5,0.5,0.5,0.0,0.2,1.5,0.6,0.8,-1.3,"PG"
299,"笠井 康平","宇都宮",45,1,479.7,10.7,1.6,0.6,1.9,"28.7%",0.3,0.8,"37.8%",0.2,1.1,"22.0%",0.2,0.3,"75.0%",0.3,0.5,0.7,1.0,0.4,0.2,0.0,0.1,1.6,0.5,0.5,-1.3,"PG"
300,"星野 京介","滋賀",38,4,304.8,8.0,1.5,0.5,1.6,"30.6%",0.1,0.4,"23.5%",0.4,1.2,"33.3%",0.1,0.3,"50.0%",0.2,0.4,0.6,0.1,0.2,0.2,0.0,0.1,1.2,0.3,0.1,-1.7,"SG"
301,"宮崎 恭行","FE名古屋",8,1,47.8,6.0,1.5,0.5,2.5,"20.0%",0.4,1.3,"30.0%",0.1,1.3,"10.0%",0.4,0.5,"75.0%",0.0,0.6,0.6,0.0,0.1,0.1,0.0,0.1,0.1,0.8,0.5,-1.1,"PG"
302,"小寺 ハミルトンゲイリー","仙台",46,2,531.6,11.6,1.5,0.6,1.4,"45.3%",0.6,1.3,"46.7%",0.0,0.1,"25.0%",0.2,0.4,"44.4%",0.7,2.6,3.3,2.1,1.4,0.5,0.2,0.1,1.3,0.5,4.3,-4.3,"C"
303,"王 偉嘉","秋田",33,0,172.7,5.2,1.4,0.5,1.2,"47.4%",0.5,1.0,"52.9%",0.0,0.1,"0.0%",0.3,0.5,"64.7%",0.6,0.5,1.1,0.2,0.3,0.1,0.0,0.2,0.9,0.4,1.0,-0.5,"PF"
304,"桜井 良太","北海道",52,14,486.7,9.4,1.4,0.5,1.6,"32.1%",0.3,0.6,"40.6%",0.3,0.9,"26.5%",0.2,0.2,"72.7%",0.1,0.8,0.9,1.1,0.4,0.4,0.1,0.1,1.5,0.5,1.3,-1.8,"SG/SF"
305,"三谷 桂司朗","広島",8,0,36.0,4.5,1.4,0.6,1.4,"45.5%",0.6,1.0,"62.5%",0.0,0.4,"0.0%",0.1,0.3,"50.0%",0.4,0.1,0.5,0.1,0.0,0.0,0.0,0.1,0.6,0.1,0.5,-2.5,""
306,"玉木 祥護","新潟",30,1,245.5,8.2,1.3,0.5,1.6,"30.6%",0.4,0.9,"42.9%",0.1,0.7,"14.3%",0.2,0.2,"85.7%",0.3,0.3,0.7,0.4,0.2,0.2,0.0,0.1,1.3,0.2,-0.1,-6.6,"SF/PF"
307,"根來 新之助","三遠",41,1,249.3,6.1,1.2,0.5,1.3,"37.7%",0.2,0.4,"56.3%",0.3,0.9,"29.7%",0.0,0.0,"0.0%",0.2,0.6,0.8,0.3,0.1,0.1,0.0,0.0,1.4,0.2,0.2,-0.5,"SF"
308,"島谷 怜","北海道",30,0,265.6,8.9,1.2,0.4,1.8,"23.6%",0.3,1.1,"27.3%",0.1,0.7,"18.2%",0.2,0.5,"50.0%",0.1,0.5,0.6,1.1,0.5,0.5,0.0,0.1,1.2,0.9,1.0,-4.2,"PG"
309,"柏木 真介","三河",50,0,550.2,11.0,1.2,0.5,1.3,"36.5%",0.2,0.4,"54.5%",0.2,0.8,"26.8%",0.1,0.1,"80.0%",0.4,0.8,1.2,0.9,0.2,0.3,0.1,0.1,1.0,0.3,1.9,1.0,"PG/SG"
310,"菊池 真人","名古屋D",34,4,334.5,9.8,1.2,0.4,1.4,"28.6%",0.2,0.6,"35.0%",0.2,0.9,"24.1%",0.2,0.2,"75.0%",0.6,0.6,1.2,0.5,0.3,0.4,0.1,0.1,1.4,0.4,0.8,-1.3,"PF"
311,"林 瑛司","FE名古屋",26,0,116.0,4.5,1.2,0.3,1.0,"33.3%",0.1,0.5,"25.0%",0.2,0.6,"40.0%",0.3,0.3,"77.8%",0.2,0.2,0.4,0.1,0.1,0.0,0.0,0.1,0.5,0.4,0.6,-0.7,"SF"
312,"野本 建吾","群馬",51,0,278.1,5.5,1.2,0.4,0.9,"41.7%",0.4,0.9,"39.1%",0.0,0.0,"100.0%",0.4,0.5,"72.0%",0.2,0.8,1.0,0.3,0.2,0.1,0.1,0.0,0.9,0.6,1.4,-1.2,"PF"
313,"土屋 アリスター時生","三遠",32,4,211.6,6.6,1.2,0.6,1.0,"54.5%",0.6,1.0,"54.5%",0.0,0.0,"0.0%",0.0,0.1,"33.3%",0.4,0.3,0.8,0.2,0.3,0.1,0.1,0.1,0.9,0.1,0.6,-2.3,"PF"
314,"エドワード・モリス","横浜BC",55,0,376.9,6.9,1.2,0.5,0.8,"59.5%",0.4,0.6,"69.7%",0.0,0.2,"22.2%",0.2,0.4,"52.4%",0.6,1.2,1.9,0.2,0.2,0.2,0.2,0.0,1.0,0.5,2.2,-1.9,"PF"
315,"松本 礼太","琉球",17,0,67.1,3.9,1.1,0.4,1.1,"33.3%",0.1,0.4,"16.7%",0.3,0.7,"41.7%",0.1,0.2,"50.0%",0.1,0.1,0.1,0.3,0.3,0.1,0.0,0.0,0.2,0.1,0.4,-0.8,"SG/SF"
316,"鎌田 裕也","川崎",54,1,429.8,8.0,1.1,0.4,1.2,"34.4%",0.2,0.3,"50.0%",0.2,0.9,"28.3%",0.0,0.1,"50.0%",0.2,0.8,1.1,0.2,0.2,0.1,0.1,0.0,0.9,0.1,0.8,-1.9,"PF"
317,"小池 文哉","新潟",6,0,8.6,1.4,1.0,0.3,1.2,"28.6%",0.0,0.0,"0.0%",0.3,1.2,"28.6%",0.0,0.0,"0.0%",0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.3,0.0,-0.3,-2.0,"PG"
318,"ナナー ダニエル弾","北海道",52,10,397.4,7.6,1.0,0.4,1.0,"41.2%",0.4,1.0,"42.0%",0.0,0.0,"0.0%",0.2,0.4,"50.0%",0.6,0.8,1.4,0.2,0.4,0.2,0.1,0.1,1.1,0.4,0.9,-4.0,"C/PF"
319,"鍵冨 太雅","茨城",12,0,33.3,2.8,1.0,0.2,0.7,"25.0%",0.2,0.4,"40.0%",0.0,0.3,"0.0%",0.7,1.0,"66.7%",0.2,0.3,0.5,0.0,0.2,0.1,0.0,0.0,0.3,0.7,1.0,-0.5,"SG"
320,"浦野 泰斗","富山",28,9,201.4,7.2,1.0,0.3,0.7,"40.0%",0.2,0.4,"50.0%",0.1,0.4,"30.0%",0.3,0.3,"88.9%",0.1,0.4,0.5,1.1,0.8,0.3,0.0,0.0,1.1,0.5,1.0,-1.8,"PG"
321,"トビン マーカス海舟","京都",21,0,98.5,4.7,1.0,0.5,1.2,"38.5%",0.5,1.1,"41.7%",0.0,0.1,"0.0%",0.0,0.1,"0.0%",0.2,0.5,0.7,0.1,0.2,0.2,0.1,0.3,0.9,0.1,-0.2,-0.9,"SF"
322,"高橋 快成","三遠",47,5,387.2,8.2,0.9,0.4,1.5,"26.4%",0.4,1.1,"33.3%",0.0,0.4,"9.5%",0.1,0.1,"57.1%",0.2,0.4,0.6,1.4,0.9,0.4,0.0,0.1,1.6,0.5,0.0,-1.4,"PG"
323,"葛原 大智","FE名古屋",43,2,292.5,6.8,0.9,0.3,0.9,"28.9%",0.2,0.3,"50.0%",0.1,0.6,"16.7%",0.3,0.5,"59.1%",0.2,0.4,0.6,0.2,0.2,0.2,0.1,0.1,0.9,0.4,0.3,-1.0,"SG/SF"
324,"寺澤 大夢","仙台",20,3,106.1,5.3,0.9,0.4,0.8,"43.8%",0.2,0.5,"44.4%",0.2,0.4,"42.9%",0.1,0.2,"33.3%",0.1,0.3,0.4,0.2,0.3,0.2,0.1,0.1,0.5,0.3,0.6,-2.3,""
325,"小栗 瑛哉","秋田",9,2,46.4,5.2,0.9,0.3,1.4,"23.1%",0.1,0.7,"16.7%",0.2,0.8,"28.6%",0.0,0.0,"0.0%",0.1,0.2,0.3,0.6,0.3,0.2,0.1,0.0,1.1,0.2,-0.2,-1.3,"PG"
326,"ラシード ファラーズ","千葉J",17,0,47.3,2.8,0.9,0.4,1.1,"31.6%",0.2,0.3,"60.0%",0.2,0.8,"21.4%",0.0,0.1,"0.0%",0.1,0.3,0.4,0.1,0.1,0.0,0.1,0.1,0.4,0.1,0.1,0.0,"SF/PF"
327,"宮本 一樹","FE名古屋",27,0,128.2,4.7,0.9,0.3,1.1,"25.8%",0.1,0.4,"33.3%",0.1,0.7,"21.1%",0.1,0.2,"60.0%",0.2,0.6,0.7,0.1,0.0,0.0,0.0,0.0,0.6,0.3,0.4,-1.1,"SF/PF"
328,"平岩 玄","A東京",35,1,165.5,4.7,0.8,0.4,0.9,"42.4%",0.4,0.9,"43.8%",0.0,0.0,"0.0%",0.0,0.2,"14.3%",0.6,0.5,1.1,0.2,0.2,0.1,0.0,0.1,1.3,0.2,0.2,-1.5,"C"
329,"植松 義也","琉球",11,0,51.7,4.7,0.8,0.2,0.7,"25.0%",0.1,0.6,"14.3%",0.1,0.1,"100.0%",0.4,0.5,"66.7%",0.4,0.6,1.0,0.2,0.2,0.3,0.2,0.0,0.7,0.3,1.1,1.5,"SF/PF"
330,"ストックマンJr.　ケドリック","FE名古屋",14,0,49.8,3.6,0.8,0.3,1.2,"23.5%",0.1,0.9,"8.3%",0.2,0.4,"60.0%",0.0,0.1,"0.0%",0.2,0.4,0.6,0.2,0.5,0.1,0.1,0.1,0.5,0.3,0.1,-0.4,"PG"
331,"林 翔太郎","茨城",38,0,118.4,3.1,0.7,0.3,0.8,"33.3%",0.2,0.3,"60.0%",0.1,0.5,"20.0%",0.1,0.1,"66.7%",0.1,0.3,0.5,0.1,0.1,0.1,0.0,0.0,0.3,0.1,0.5,-2.3,"SF"
332,"田臥 勇太","宇都宮",14,0,47.1,3.4,0.6,0.3,0.8,"36.4%",0.2,0.6,"37.5%",0.1,0.2,"33.3%",0.0,0.0,"0.0%",0.1,0.3,0.4,0.2,0.1,0.2,0.0,0.1,0.3,0.1,0.6,-1.5,"PG"
333,"今西 優斗","名古屋D",8,0,15.5,1.9,0.6,0.1,1.0,"12.5%",0.1,0.6,"20.0%",0.0,0.4,"0.0%",0.4,0.5,"75.0%",0.0,0.1,0.1,0.3,0.3,0.1,0.0,0.3,0.1,0.4,-0.1,0.1,"PG"
334,"星野 曹樹","群馬",31,0,129.3,4.2,0.6,0.2,0.9,"22.2%",0.2,0.5,"35.7%",0.0,0.4,"7.7%",0.1,0.3,"44.4%",0.3,0.7,1.0,0.2,0.4,0.2,0.0,0.2,0.8,0.3,0.0,-0.8,"SF"
335,"井手 拓実","大阪",20,0,57.9,2.9,0.6,0.2,1.1,"14.3%",0.1,0.5,"11.1%",0.1,0.6,"16.7%",0.2,0.2,"75.0%",0.2,0.0,0.2,0.2,0.3,0.0,0.0,0.1,0.5,0.2,-0.7,-2.4,"PG"
336,"益子 拓己","京都",11,0,27.0,2.5,0.6,0.1,0.6,"14.3%",0.0,0.2,"0.0%",0.1,0.5,"20.0%",0.3,0.4,"75.0%",0.3,0.0,0.3,0.2,0.0,0.2,0.0,0.0,0.2,0.3,0.6,-1.6,"PG/SG"
337,"武藤 俊太朗","新潟",4,0,9.2,2.3,0.5,0.3,0.8,"33.3%",0.3,0.5,"50.0%",0.0,0.3,"0.0%",0.0,0.0,"0.0%",0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,""
338,"高橋 克実","千葉J",23,0,52.2,2.3,0.5,0.2,0.8,"21.1%",0.2,0.3,"50.0%",0.0,0.5,"0.0%",0.1,0.2,"60.0%",0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.2,0.2,-0.3,-1.3,"PG/SG"
339,"ジャワラ ジョゼフ","茨城",23,0,52.6,2.3,0.4,0.1,0.5,"27.3%",0.0,0.2,"20.0%",0.1,0.3,"33.3%",0.0,0.0,"0.0%",0.1,0.2,0.4,0.2,0.1,0.0,0.0,0.0,0.4,0.0,0.0,-1.9,"PF"
340,"アンドリュー・ファーガソン","島根",7,0,24.0,3.4,0.3,0.1,0.4,"33.3%",0.1,0.3,"50.0%",0.0,0.1,"0.0%",0.0,0.0,"0.0%",0.1,0.7,0.9,0.0,0.9,0.0,0.3,0.0,0.9,0.0,-0.6,-2.6,""
341,"ジャスティン・バルタザール","広島",8,0,13.6,1.7,0.3,0.1,0.4,"33.3%",0.1,0.1,"100.0%",0.0,0.3,"0.0%",0.0,0.0,"0.0%",0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.9,0.0,-0.5,-1.6,""
342,"小室 昂大","京都",18,0,50.4,2.8,0.2,0.1,0.9,"5.9%",0.0,0.2,"0.0%",0.1,0.7,"7.7%",0.0,0.0,"0.0%",0.1,0.2,0.3,0.2,0.2,0.1,0.0,0.1,0.2,0.0,-0.7,-1.5,"SF"
343,"荒尾 岳","千葉J",51,0,291.6,5.7,0.2,0.1,0.2,"40.0%",0.1,0.2,"40.0%",0.0,0.0,"0.0%",0.0,0.0,"0.0%",0.2,0.4,0.7,0.3,0.1,0.1,0.1,0.0,1.1,0.1,0.1,0.1,"PF"
344,"後藤 翔平","島根",19,0,28.4,1.5,0.1,0.0,0.2,"0.0%",0.0,0.1,"0.0%",0.0,0.2,"0.0%",0.1,0.1,"50.0%",0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.1,-0.2,-1.5,"SG"
345,"ザック・モーア","京都",25,0,140.2,5.6,0.0,0.0,0.4,"0.0%",0.0,0.3,"0.0%",0.0,0.0,"0.0%",0.0,0.0,"0.0%",0.4,0.7,1.1,0.2,0.1,0.2,0.0,0.1,0.6,0.0,0.4,0.0,"SF"
346,"平岡 勇人","横浜BC",2,0,2.2,1.1,0.0,0.0,1.0,"0.0%",0.0,0.0,"0.0%",0.0,1.0,"0.0%",0.0,0.0,"0.0%",0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.5,-3.5,""
347,"浅井 修伍","茨城",1,0,1.8,1.8,0.0,0.0,0.0,"0.0%",0.0,0.0,"0.0%",0.0,0.0,"0.0%",0.0,0.0,"0.0%",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,"SF"
348,"金本 一真","滋賀",4,0,11.5,2.9,0.0,0.0,0.8,"0.0%",0.0,0.5,"0.0%",0.0,0.3,"0.0%",0.0,0.0,"0.0%",0.0,0.3,0.3,0.5,0.3,0.0,0.0,0.0,0.5,0.5,-0.3,-4.0,"SG"
349,"平良 宗龍","琉球",1,0,0.4,0.4,0.0,0.0,1.0,"0.0%",0.0,0.0,"0.0%",0.0,1.0,"0.0%",0.0,0.0,"0.0%",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,""
350,"川村 卓也","新潟",2,0,9.6,4.8,0.0,0.0,0.5,"0.0%",0.0,0.5,"0.0%",0.0,0.0,"0.0%",0.0,0.0,"0.0%",0.5,1.0,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,-3.5,"SG"
351,"須藤 春輝","琉球",1,0,0.4,0.4,0.0,0.0,0.0,"0.0%",0.0,0.0,"0.0%",0.0,0.0,"0.0%",0.0,0.0,"0.0%",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,""
352,"星野 零志","大阪",4,0,4.1,1.0,0.0,0.0,0.0,"0.0%",0.0,0.0,"0.0%",0.0,0.0,"0.0%",0.0,0.0,"0.0%",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.5,-1.8,"PG/SG"
353,"内藤 耀悠","北海道",3,0,7.2,2.4,0.0,0.0,0.7,"0.0%",0.0,0.3,"0.0%",0.0,0.3,"0.0%",0.0,0.0,"0.0%",0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.0,0.7,0.0,-0.3,2.3,"SF"
354,"大宮 宏正","三遠",1,0,0.6,0.6,0.0,0.0,0.0,"0.0%",0.0,0.0,"0.0%",0.0,0.0,"0.0%",0.0,0.0,"0.0%",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,"PF"
