TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF
熊本,11,福田 真生,SF,60,60,1531:37:00,25:31:00,374,6.2,159,326,48.80%,6,33,18.20%,50,66,75.80%,73,130,203,3.4,88,1.5,46,51,3,4,85,77,8
仙台,12,泉 秀岳,SF,60,39,1147:31:00,19:07,372,6.2,153,336,45.50%,10,55,18.20%,56,74,75.70%,52,103,155,2.6,50,0.8,50,20,1,23,83,62,6
秋田,22,クリス・カヨール,,36,1,646:29:00,17:57,360,10,123,330,37.30%,51,162,31.50%,63,83,75.90%,27,95,122,3.4,39,1.1,43,35,8,18,65,65,8
群馬,51,根東 裕隆,PG/SG,60,25,1439:54:00,23:59,353,5.9,98,265,37.00%,32,105,30.50%,125,155,80.60%,34,136,170,2.8,270,4.5,99,54,7,13,126,188,9
岩手,0,藤江 建典,G,59,35,1347:59:00,22:50,349,5.9,144,412,35.00%,21,88,23.90%,40,59,67.80%,18,72,90,1.5,170,2.9,108,34,1,9,108,89,4
秋田,55,谷口 大智,PF/C,60,35,919:54:00,15:19,346,5.8,126,345,36.50%,62,194,32.00%,32,50,64.00%,53,117,170,2.8,72,1.2,42,58,11,10,123,57,6
香川,41,高田 秀一,SF/PF,53,48,1174:41:00,22:09,346,6.5,126,327,38.50%,48,149,32.20%,46,81,56.80%,31,109,140,2.6,91,1.7,68,24,5,9,74,71,6
青森,18,菅 俊男,SF,58,58,1170:40:00,20:11,346,6,136,261,52.10%,21,55,38.20%,53,90,58.90%,55,111,166,2.9,98,1.7,58,55,21,24,133,103,8
岩手,10,菅澤 紀行,F,58,39,1162:16:00,20:02,345,5.9,127,354,35.90%,33,146,22.60%,58,95,61.10%,64,144,208,3.6,86,1.5,80,48,5,19,106,98,6
奈良,33,喜久山 貴一,PG/SG,58,0,1034:46:00,17:50,343,5.9,117,279,41.90%,72,180,40.00%,37,52,71.20%,6,49,55,0.9,71,1.2,57,19,2,4,112,68,4
信州,1,和田 保彦,PG/SG,60,7,1135:24:00,18:55,331,5.5,115,343,33.50%,43,159,27.00%,58,91,63.70%,28,66,94,1.6,118,2,83,36,3,12,120,112,4
岩手,22,ローレンス・ブラックレッジ,PF,29,1,622:24:00,21:27,328,11.3,133,339,39.20%,17,72,23.60%,45,76,59.20%,30,117,147,5.1,48,1.7,54,28,40,11,74,71,10
山形,50,伊澤 実孝,SF,60,42,965:24:00,16:05,325,5.4,132,319,41.40%,27,77,35.10%,34,51,66.70%,71,108,179,3,37,0.6,32,30,9,9,48,64,6
香川,88,木村 啓太郎,PG,59,33,1301:45:00,22:03,325,5.5,102,284,35.90%,37,125,29.60%,84,123,68.30%,31,73,104,1.8,139,2.4,76,47,2,17,152,125,5
奈良,2,ゲイリー・ハミルトン,C,59,1,1282:38:00,21:44,318,5.4,140,291,48.10%,0,3,0.00%,38,57,66.70%,104,340,444,7.5,220,3.7,102,52,24,6,142,64,13
香川,0,大澤 歩,PG,60,51,1646:56:00,27:26:00,317,5.3,106,343,30.90%,28,126,22.20%,77,99,77.80%,31,104,135,2.3,252,4.2,104,43,1,23,137,174,6
東京Z,7,ルーク・エヴァンス,PF,29,5,572:29:00,19:44,314,10.8,123,262,46.90%,8,41,19.50%,60,105,57.10%,57,113,170,5.9,35,1.2,28,15,12,14,80,101,12
東京Z,0,シンミオン・バウアーズ,PF,22,9,520:28:00,23:39,313,14.2,125,248,50.40%,1,12,8.30%,62,117,53.00%,62,124,186,8.5,38,1.7,45,17,1,12,57,90,15
FE名古屋,14,兒玉 貴通,PG,56,22,989:28:00,17:40,312,5.6,109,261,41.80%,30,73,41.10%,64,79,81.00%,32,64,96,1.7,132,2.4,52,31,0,8,112,71,6
岩手,12,鈴木　友貴,SG,60,15,1136:24:00,18:56,312,5.2,118,343,34.40%,54,190,28.40%,22,34,64.70%,16,72,88,1.5,52,0.9,48,38,2,5,73,56,3
奈良,1,樋口 真斗,SG,59,11,1257:34:00,21:18,309,5.2,111,250,44.40%,49,116,42.20%,38,48,79.20%,48,96,144,2.4,126,2.1,73,28,2,9,95,79,7
熊本,7,小林 慎太郎,SG,54,32,1041:54:00,19:17,303,5.6,105,275,38.20%,71,196,36.20%,22,29,75.90%,14,56,70,1.3,81,1.5,38,31,1,4,96,34,5
信州,9,高松 勇介,G,60,35,1268:47:00,21:08,300,5,89,224,39.70%,45,118,38.10%,77,95,81.10%,22,71,93,1.6,125,2.1,58,41,3,12,98,125,6
信州,11,齊藤 洋介,SG,45,31,907:56:00,20:10,298,6.6,107,272,39.30%,57,158,36.10%,27,37,73.00%,10,83,93,2.1,107,2.4,50,26,0,8,70,50,7
